status,merge_period,period_key,env_kind,dataset_id,variables,tile_id,tile_lat_idx,tile_lon_idx,request_lat_min,request_lat_max,request_lon_min,request_lon_max,tile_deg_lat,tile_deg_lon,buffer_deg,lat_span_deg,lon_span_deg,start_date,end_date,n_days,n_observed_days,n_coverage_points,n_events,n_runs,estimated_lat_cells,estimated_lon_cells,estimated_download_bytes_conservative,output_dir,output_filename,output_path,already_exists
planned,month,2016-02,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,lat004_lon039,4,39,-70.25,-64.75,14.75,20.25,5.0,5.0,0.25,5.5,5.5,2016-02-19,2016-02-20,2,2,1778,364,2,133,133,849072,external_inputs/environment/goto_chl,CHL_GOTO_PERIOD_month_lat004_lon039_201602_20160219_20160220.nc,external_inputs/environment/goto_chl/CHL_GOTO_PERIOD_month_lat004_lon039_201602_20160219_20160220.nc,0
planned,month,2018-01,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,lat004_lon039,4,39,-70.25,-64.75,14.75,20.25,5.0,5.0,0.25,5.5,5.5,2018-01-30,2018-01-30,1,1,105,21,1,133,133,500000,external_inputs/environment/goto_chl,CHL_GOTO_PERIOD_month_lat004_lon039_201801_20180130_20180130.nc,external_inputs/environment/goto_chl/CHL_GOTO_PERIOD_month_lat004_lon039_201801_20180130_20180130.nc,0
planned,month,2018-01,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,lat004_lon040,4,40,-70.25,-64.75,19.75,25.25,5.0,5.0,0.25,5.5,5.5,2018-01-31,2018-01-31,1,1,337,81,1,133,133,500000,external_inputs/environment/goto_chl,CHL_GOTO_PERIOD_month_lat004_lon040_201801_20180131_20180131.nc,external_inputs/environment/goto_chl/CHL_GOTO_PERIOD_month_lat004_lon040_201801_20180131_20180131.nc,0
planned,month,2018-02,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,lat004_lon040,4,40,-70.25,-64.75,19.75,25.25,5.0,5.0,0.25,5.5,5.5,2018-02-07,2018-02-09,3,3,194,97,3,133,133,1273608,external_inputs/environment/goto_chl,CHL_GOTO_PERIOD_month_lat004_lon040_201802_20180207_20180209.nc,external_inputs/environment/goto_chl/CHL_GOTO_PERIOD_month_lat004_lon040_201802_20180207_20180209.nc,0
planned,month,2016-02,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,lat004_lon041,4,41,-70.25,-64.75,24.75,30.25,5.0,5.0,0.25,5.5,5.5,2016-02-19,2016-02-19,1,1,15,3,1,133,133,500000,external_inputs/environment/goto_chl,CHL_GOTO_PERIOD_month_lat004_lon041_201602_20160219_20160219.nc,external_inputs/environment/goto_chl/CHL_GOTO_PERIOD_month_lat004_lon041_201602_20160219_20160219.nc,0
planned,month,2018-01,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,lat004_lon041,4,41,-70.25,-64.75,24.75,30.25,5.0,5.0,0.25,5.5,5.5,2018-01-30,2018-01-31,2,2,1485,298,2,133,133,849072,external_inputs/environment/goto_chl,CHL_GOTO_PERIOD_month_lat004_lon041_201801_20180130_20180131.nc,external_inputs/environment/goto_chl/CHL_GOTO_PERIOD_month_lat004_lon041_201801_20180130_20180131.nc,0
planned,month,2018-02,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,lat004_lon041,4,41,-70.25,-64.75,24.75,30.25,5.0,5.0,0.25,5.5,5.5,2018-02-07,2018-02-09,3,3,941,227,3,133,133,1273608,external_inputs/environment/goto_chl,CHL_GOTO_PERIOD_month_lat004_lon041_201802_20180207_20180209.nc,external_inputs/environment/goto_chl/CHL_GOTO_PERIOD_month_lat004_lon041_201802_20180207_20180209.nc,0
planned,month,2019-02,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,lat004_lon041,4,41,-70.25,-64.75,24.75,30.25,5.0,5.0,0.25,5.5,5.5,2019-02-09,2019-02-09,1,1,43,9,1,133,133,500000,external_inputs/environment/goto_chl,CHL_GOTO_PERIOD_month_lat004_lon041_201902_20190209_20190209.nc,external_inputs/environment/goto_chl/CHL_GOTO_PERIOD_month_lat004_lon041_201902_20190209_20190209.nc,0
planned,month,2016-02,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,lat004_lon042,4,42,-70.25,-64.75,29.75,35.25,5.0,5.0,0.25,5.5,5.5,2016-02-18,2016-02-18,1,1,160,32,1,133,133,500000,external_inputs/environment/goto_chl,CHL_GOTO_PERIOD_month_lat004_lon042_201602_20160218_20160218.nc,external_inputs/environment/goto_chl/CHL_GOTO_PERIOD_month_lat004_lon042_201602_20160218_20160218.nc,0
planned,month,2019-02,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,lat004_lon042,4,42,-70.25,-64.75,29.75,35.25,5.0,5.0,0.25,5.5,5.5,2019-02-09,2019-02-09,1,1,7,3,1,133,133,500000,external_inputs/environment/goto_chl,CHL_GOTO_PERIOD_month_lat004_lon042_201902_20190209_20190209.nc,external_inputs/environment/goto_chl/CHL_GOTO_PERIOD_month_lat004_lon042_201902_20190209_20190209.nc,0
