status,dataset_id,variables,tile_id,logical_lat_min,logical_lat_max,logical_lon360_min,logical_lon360_max,request_lat_min,request_lat_max,request_lon_min,request_lon_max,start_date,end_date,n_days,output_dir,output_filename,output_path,already_exists,approx_uncompressed_chl_bytes
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0010_LON360200,10.0,30.0,200.0,220.0,9.85,30.15,-160.15,-139.85,2014-04-01,2014-04-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0010_LON360200_20140401_20140415.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0010_LON360200_20140401_20140415.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0030_LON360180,30.0,50.0,180.0,200.0,29.85,50.15,-180.0,-159.85,2014-04-01,2014-04-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0030_LON360180_20140401_20140415.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0030_LON360180_20140401_20140415.nc,0,14288400
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0030_LON360200,30.0,50.0,200.0,220.0,29.85,50.15,-160.15,-139.85,2014-04-01,2014-04-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0030_LON360200_20140401_20140415.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0030_LON360200_20140401_20140415.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0050_LON360200,50.0,70.0,200.0,220.0,49.85,70.15,-160.15,-139.85,2014-04-01,2014-04-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0050_LON360200_20140401_20140415.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0050_LON360200_20140401_20140415.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0010_LON360180,10.0,30.0,180.0,200.0,9.85,30.15,-180.0,-159.85,2014-04-16,2014-04-30,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0010_LON360180_20140416_20140430.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0010_LON360180_20140416_20140430.nc,0,14288400
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0010_LON360200,10.0,30.0,200.0,220.0,9.85,30.15,-160.15,-139.85,2014-04-16,2014-04-30,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0010_LON360200_20140416_20140430.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0010_LON360200_20140416_20140430.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0030_LON360180,30.0,50.0,180.0,200.0,29.85,50.15,-180.0,-159.85,2014-04-16,2014-04-30,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0030_LON360180_20140416_20140430.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0030_LON360180_20140416_20140430.nc,0,14288400
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0030_LON360200,30.0,50.0,200.0,220.0,29.85,50.15,-160.15,-139.85,2014-04-16,2014-04-30,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0030_LON360200_20140416_20140430.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0030_LON360200_20140416_20140430.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0050_LON360200,50.0,70.0,200.0,220.0,49.85,70.15,-160.15,-139.85,2014-04-16,2014-04-30,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0050_LON360200_20140416_20140430.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0050_LON360200_20140416_20140430.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0010_LON360180,10.0,30.0,180.0,200.0,9.85,30.15,-180.0,-159.85,2014-05-01,2014-05-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0010_LON360180_20140501_20140515.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0010_LON360180_20140501_20140515.nc,0,14288400
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0010_LON360200,10.0,30.0,200.0,220.0,9.85,30.15,-160.15,-139.85,2014-05-01,2014-05-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0010_LON360200_20140501_20140515.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0010_LON360200_20140501_20140515.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0030_LON360180,30.0,50.0,180.0,200.0,29.85,50.15,-180.0,-159.85,2014-05-01,2014-05-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0030_LON360180_20140501_20140515.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0030_LON360180_20140501_20140515.nc,0,14288400
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0030_LON360200,30.0,50.0,200.0,220.0,29.85,50.15,-160.15,-139.85,2014-05-01,2014-05-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0030_LON360200_20140501_20140515.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0030_LON360200_20140501_20140515.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0030_LON360220,30.0,50.0,220.0,240.0,29.85,50.15,-140.15,-119.85,2014-05-01,2014-05-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0030_LON360220_20140501_20140515.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0030_LON360220_20140501_20140515.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0050_LON360180,50.0,70.0,180.0,200.0,49.85,70.15,-180.0,-159.85,2014-05-01,2014-05-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0050_LON360180_20140501_20140515.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0050_LON360180_20140501_20140515.nc,0,14288400
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0050_LON360200,50.0,70.0,200.0,220.0,49.85,70.15,-160.15,-139.85,2014-05-01,2014-05-15,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0050_LON360200_20140501_20140515.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0050_LON360200_20140501_20140515.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0010_LON360180,10.0,30.0,180.0,200.0,9.85,30.15,-180.0,-159.85,2014-05-16,2014-05-30,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0010_LON360180_20140516_20140530.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0010_LON360180_20140516_20140530.nc,0,14288400
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0010_LON360200,10.0,30.0,200.0,220.0,9.85,30.15,-160.15,-139.85,2014-05-16,2014-05-30,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0010_LON360200_20140516_20140530.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0010_LON360200_20140516_20140530.nc,0,14406000
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0030_LON360180,30.0,50.0,180.0,200.0,29.85,50.15,-180.0,-159.85,2014-05-16,2014-05-30,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0030_LON360180_20140516_20140530.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0030_LON360180_20140516_20140530.nc,0,14288400
planned,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,LAT+0030_LON360200,30.0,50.0,200.0,220.0,29.85,50.15,-160.15,-139.85,2014-05-16,2014-05-30,15,external_inputs/environment/laysan_chl,CHL_LAAL_LAT+0030_LON360200_20140516_20140530.nc,external_inputs/environment/laysan_chl/CHL_LAAL_LAT+0030_LON360200_20140516_20140530.nc,0,14406000
