package,file,description,primary_key,rows,bytes,sha256
Supplementary_Data_1_last_passage,family_a_event_metrics.csv.gz,One row per qualified dataset-scale-event for E=R+L decomposition.,dataset + scale_m + event_id,16865,258846,aeb4cfb5b3fb8a5e38524e4a7f597a0e966fc9cc38a440591d987d8d0c86e23b
Supplementary_Data_1_last_passage,family_b_event_metrics.csv.gz,One row per qualified dataset-scale-event for paired rho-tau localisation.,dataset + scale_m + event_id,18689,210900,076592864485caa02f4892743136ac0ab0aca50515f2e8ec15a7d64299b85402
Supplementary_Data_1_last_passage,formal_summary.csv,One row per dataset-scale-family-estimand formal summary.,dataset + scale_m + family + estimand,90,14051,921da97c9de04d1f33e103f6c796e1b86eef839f3a34fa34d6a8d0875a0842c2
Supplementary_Data_1_last_passage,coverage.csv,Qualification and exclusion counts by dataset and scale.,dataset + scale_m + stage,5,445,ef37f59ddbbb05579bebb91c76160045d6ffead6776c3c20f0b2eff75a7581cf
Supplementary_Data_2_laysan_same_event,laysan_last_passage_event_metrics.csv.gz,One row per qualified Laysan event-scale combination.,individual_id + event_id + scale_m,10572,252754,447505fc5c112e8d1a1a16bc7c1688fa161470be2da6f53a1cbdac2e777c3996
Supplementary_Data_2_laysan_same_event,laysan_phase_summary.csv,One row per Laysan scale-estimand formal phase summary.,scale_m + estimand,27,4588,655d96b370b42423afd8b8c739209d3a3f478970c752dd197a307a0b2725210a
Supplementary_Data_2_laysan_same_event,laysan_phase_null_audit.csv.gz,One row per Laysan scale-estimand-phase null estimate.,scale_m + estimand + phase,3930,35264,27eb87a017eefbd33e31e6e93722e42891611885fe7cf3c4b3dc8843fc296a82
Supplementary_Data_2_laysan_same_event,laysan_reconstruction_audit.csv.gz,One row per reconstructed Laysan event-scale combination.,individual_id + event_id + scale_m,10572,70540,0f773b8fe1d4658b35b0e44ce5745d7d182267f5b0957e725c2db63294ac7dac
Supplementary_Data_2_laysan_same_event,joint_model_summary.csv,One row per dataset-scale same-event joint model.,dataset + scale_m,4,1618,11b30d88c6f00fc5f9c633131833e9c29f01ec11b5dba42a65bd4b7224a33360
Supplementary_Data_2_laysan_same_event,conditional_L_3x3_grid.csv,One row per dataset-scale-bout-background-tertile-length-tertile cell.,dataset + scale_m + abs_tertile + length_tertile,36,1711,47f46bec64ce1ed0d6a4054e36e370db756c8e91dfa42fb62daa37ba85816dea
Supplementary_Data_2_laysan_same_event,mean_logchl_joint_model_summary.csv,One row per dataset-scale joint model after replacing median(log CHL) by mean(log CHL).,dataset + scale_m,4,1576,d25149f9f166ee4a0f6a5a99e9158eec747f27b39f12bc6905a4ff537bebdb3e
Supplementary_Data_2_laysan_same_event,mean_logchl_conditional_L_3x3_grid.csv,One row per dataset-scale-background-tertile-length-tertile cell for the mean(log CHL) sensitivity.,dataset + scale_m + abs_tertile + length_tertile,36,1713,8e3c49ad1aa1ad1b67ee8d0d670c85b85c8c0fa1416b937758ed0e168f02be15
Supplementary_Data_2_laysan_same_event,mean_vs_median_joint_model_comparison.csv,Side-by-side mean(log CHL) sensitivity and primary median(log CHL) joint-model summaries.,dataset + scale_m,4,3295,a6001ee05bbc10e706dad4569992f4d3190b385124c2d30a3cf7f49447f85d6f
Supplementary_Data_2_laysan_same_event,mean_logchl_sensitivity_final_summary.json,"Frozen gate verdict, hashes and model readback for the mean(log CHL) sensitivity.",JSON object,JSON,5038,5bfecfecc6c14e491c54ce728ce6ddd43dfae0a6fef4593fa54c35607cfbcfd6
Supplementary_Data_3_behaviour_context,wandering_albatross_landing_scale_summary.csv,One row per drawdown scale for matched post-minus-pre landing probability.,delta_m,15,7626,c1c1bdb3a75470017ef074c6d4649eb7db3b30d48cb63088e051901acbe95d2e
Supplementary_Data_3_behaviour_context,wandering_albatross_landing_timing_summary.csv,One row per drawdown scale and matched temporal bin around a boundary.,delta_m + bin_low_s + bin_high_s,60,6694,b5c2c29c6de516ba38d8411dff10833620f76af84d2866b791570b2d1a6f0244
Supplementary_Data_3_behaviour_context,shearwater_continuous_context_contrast.csv,One row per shearwater scale for continuous foraging-minus-rest slope.,scale_m,4,915,f45a88aa677c9c55c34c5f84a099daf8c91096bc4c758a124da0a4349d3ceb36
Supplementary_Data_3_behaviour_context,shearwater_behavior_group_effects.csv,One row per shearwater scale-behaviour-group-estimand summary.,scale_m + behavior_group + estimand,72,10143,2f197e7055c6f3875d97b7c726f6df29cf28bd9312305b98647a10ebf73ce5d8
Supplementary_Data_3_behaviour_context,shearwater_event_metrics.csv.gz,One row per qualified shearwater event-scale combination with future behaviour fractions.,individual_id + event_id + scale_m,254,6558,d27dea9f09d2232a2d390c324eaa93d4f864af7678933bf8cec682bb09cdfb2f
Supplementary_Data_3_behaviour_context,red_footed_booby_behavior_group_effects.csv,One row per booby scale-behaviour-class-estimand summary.,scale_m + behavior_class + estimand,108,17544,b2f6d73f546ecfaa3baa6cba6edc89b52618ebc82abfc88a640c1c699867b4de
Supplementary_Data_3_behaviour_context,red_footed_booby_behavior_modifiers.csv,One row per booby scale paired dive-versus-wet contrast.,scale_m + contrast + estimand,72,14906,40e2513d34357ac6eab825a838b7d778746224d7ab990d2d7e3034e82cfa1989
Supplementary_Data_3_behaviour_context,red_footed_booby_dive_timing_contrasts.csv,One row per booby scale paired post-dive-versus-pre-dive contrast.,scale_m + contrast + estimand,108,20884,ed176e9a98131d7f0ad28a278d5fc17e0565e889e0b8d358649a773a5de01a88
Supplementary_Data_4_boundary_counterfactual,rho_segment_metrics.csv,One row per observed Crozet segment under the last-record partition.,segment_uid,129,19073,d510f0012e9ce09289a5003aef448783db7df22f8fa45d7d2a268112018b6ccd
Supplementary_Data_4_boundary_counterfactual,eligible_record_counterfactual_distribution.csv.gz,One row per complete eligible-record boundary-replacement replicate.,replicate,999,13733,1e7282fffe2a39a0274eb5ee9709c703f294fd8c72656d8ace9245727cac4f23
Supplementary_Data_4_boundary_counterfactual,segment_boundary_audit.csv,One row per segment for observed-partition and confirmation-index diagnostics.,segment_uid,129,24174,d1e3a52885519f50178908f03e785eb03c93c11edd464f41697457d62c83c0d2
Supplementary_Data_4_boundary_counterfactual,tau_confirmation_reach_diagnostic.csv,Descriptive confirmation-reach statistics; confirmation points are not used as a partition.,reported grouping columns,129,23083,c222ff1d20d1e6348e56d849ad2fe6a0d69d9a0e1a1a573d593886809eb26c35
Supplementary_Data_4_boundary_counterfactual,final_summary.json,"Observed effects, replacement quantiles and randomisation values.",JSON object,JSON,3181,b09d12486d3e985093e44fc4047912e7a0521f3597e6d528543abbf31043f47c
