column,dtype,unit,description,files
E_high,float64,probability contrast,Endpoint-excess quantity for the tail named in the column suffix.,laysan_last_passage_event_metrics.csv.gz
E_low,float64,probability contrast,Endpoint-excess quantity for the tail named in the column suffix.,laysan_last_passage_event_metrics.csv.gz
E_union,float64,probability contrast,Endpoint-excess quantity for the tail named in the column suffix.,laysan_last_passage_event_metrics.csv.gz
L_high,float64,probability contrast,Last-record component for the tail named in the column suffix.,laysan_last_passage_event_metrics.csv.gz
L_low,float64,probability contrast,Last-record component for the tail named in the column suffix.,laysan_last_passage_event_metrics.csv.gz
L_low_positive,bool,probability contrast,Last-record component for the tail named in the column suffix.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
L_low_positive_mean,bool,probability contrast,Last-record component for the tail named in the column suffix.,mean_vs_median_joint_model_comparison.csv
L_low_positive_median,bool,probability contrast,Last-record component for the tail named in the column suffix.,mean_vs_median_joint_model_comparison.csv
L_low_strict,bool,probability contrast,Last-record component for the tail named in the column suffix.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
L_low_strict_mean,bool,probability contrast,Last-record component for the tail named in the column suffix.,mean_vs_median_joint_model_comparison.csv
L_low_strict_median,bool,probability contrast,Last-record component for the tail named in the column suffix.,mean_vs_median_joint_model_comparison.csv
L_union,float64,probability contrast,Last-record component for the tail named in the column suffix.,conditional_L_3x3_grid.csv; laysan_last_passage_event_metrics.csv.gz; mean_logchl_conditional_L_3x3_grid.csv
R_high,float64,probability contrast,Ordinary radial-record component for the tail named in the column suffix.,laysan_last_passage_event_metrics.csv.gz
R_low,float64,probability contrast,Ordinary radial-record component for the tail named in the column suffix.,laysan_last_passage_event_metrics.csv.gz
R_union,float64,probability contrast,Ordinary radial-record component for the tail named in the column suffix.,laysan_last_passage_event_metrics.csv.gz
abs_tertile,int64,field-specific,Frozen analysis field: abs tertile.,conditional_L_3x3_grid.csv; mean_logchl_conditional_L_3x3_grid.csv
absolute_pass,bool,field-specific,Frozen analysis field: absolute pass.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
absolute_pass_mean,bool,field-specific,Frozen analysis field: absolute pass mean.,mean_vs_median_joint_model_comparison.csv
absolute_pass_median,bool,field-specific,Frozen analysis field: absolute pass median.,mean_vs_median_joint_model_comparison.csv
animals,int64,field-specific,Frozen analysis field: animals.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
animals_mean,int64,field-specific,Frozen analysis field: animals mean.,mean_vs_median_joint_model_comparison.csv
animals_median,int64,field-specific,Frozen analysis field: animals median.,mean_vs_median_joint_model_comparison.csv
attempted_unique_offsets,int64,field-specific,Frozen analysis field: attempted unique offsets.,laysan_phase_null_audit.csv.gz
beta_L_high,float64,field-specific,Frozen analysis field: beta L high.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
beta_L_high_ci_high,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
beta_L_high_ci_high_mean,float64,field-specific,Frozen analysis field: beta L high ci high mean.,mean_vs_median_joint_model_comparison.csv
beta_L_high_ci_high_median,float64,field-specific,Frozen analysis field: beta L high ci high median.,mean_vs_median_joint_model_comparison.csv
beta_L_high_ci_low,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
beta_L_high_ci_low_mean,float64,field-specific,Frozen analysis field: beta L high ci low mean.,mean_vs_median_joint_model_comparison.csv
beta_L_high_ci_low_median,float64,field-specific,Frozen analysis field: beta L high ci low median.,mean_vs_median_joint_model_comparison.csv
beta_L_high_mean,float64,field-specific,Frozen analysis field: beta L high mean.,mean_vs_median_joint_model_comparison.csv
beta_L_high_median,float64,field-specific,Frozen analysis field: beta L high median.,mean_vs_median_joint_model_comparison.csv
beta_L_low,float64,field-specific,Frozen analysis field: beta L low.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
beta_L_low_ci_high,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
beta_L_low_ci_high_mean,float64,field-specific,Frozen analysis field: beta L low ci high mean.,mean_vs_median_joint_model_comparison.csv
beta_L_low_ci_high_median,float64,field-specific,Frozen analysis field: beta L low ci high median.,mean_vs_median_joint_model_comparison.csv
beta_L_low_ci_low,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
beta_L_low_ci_low_mean,float64,field-specific,Frozen analysis field: beta L low ci low mean.,mean_vs_median_joint_model_comparison.csv
beta_L_low_ci_low_median,float64,field-specific,Frozen analysis field: beta L low ci low median.,mean_vs_median_joint_model_comparison.csv
beta_L_low_mean,float64,field-specific,Frozen analysis field: beta L low mean.,mean_vs_median_joint_model_comparison.csv
beta_L_low_median,float64,field-specific,Frozen analysis field: beta L low median.,mean_vs_median_joint_model_comparison.csv
beta_absolute,float64,field-specific,Frozen analysis field: beta absolute.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
beta_absolute_ci_high,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
beta_absolute_ci_high_mean,float64,field-specific,Frozen analysis field: beta absolute ci high mean.,mean_vs_median_joint_model_comparison.csv
beta_absolute_ci_high_median,float64,field-specific,Frozen analysis field: beta absolute ci high median.,mean_vs_median_joint_model_comparison.csv
beta_absolute_ci_low,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
beta_absolute_ci_low_mean,float64,field-specific,Frozen analysis field: beta absolute ci low mean.,mean_vs_median_joint_model_comparison.csv
beta_absolute_ci_low_median,float64,field-specific,Frozen analysis field: beta absolute ci low median.,mean_vs_median_joint_model_comparison.csv
beta_absolute_mean,float64,field-specific,Frozen analysis field: beta absolute mean.,mean_vs_median_joint_model_comparison.csv
beta_absolute_median,float64,field-specific,Frozen analysis field: beta absolute median.,mean_vs_median_joint_model_comparison.csv
bootstrap_ci_high,float64,see description,Upper endpoint of the 95% biological-unit-cluster bootstrap interval.,laysan_phase_summary.csv
bootstrap_ci_low,float64,see description,Lower endpoint of the 95% biological-unit-cluster bootstrap interval.,laysan_phase_summary.csv
bootstrap_reps,int64,field-specific,Frozen analysis field: bootstrap reps.,joint_model_summary.csv; laysan_phase_summary.csv; mean_logchl_joint_model_summary.csv
bootstrap_reps_mean,int64,field-specific,Frozen analysis field: bootstrap reps mean.,mean_vs_median_joint_model_comparison.csv
bootstrap_reps_median,int64,field-specific,Frozen analysis field: bootstrap reps median.,mean_vs_median_joint_model_comparison.csv
cluster,str,field-specific,Frozen analysis field: cluster.,laysan_last_passage_event_metrics.csv.gz; laysan_phase_null_audit.csv.gz; laysan_reconstruction_audit.csv.gz
conditional_L_pass,bool,field-specific,Frozen analysis field: conditional L pass.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
conditional_L_pass_mean,bool,field-specific,Frozen analysis field: conditional L pass mean.,mean_vs_median_joint_model_comparison.csv
conditional_L_pass_median,bool,field-specific,Frozen analysis field: conditional L pass median.,mean_vs_median_joint_model_comparison.csv
dataset,str,see description,Short analysis-system identifier.,conditional_L_3x3_grid.csv; joint_model_summary.csv; laysan_last_passage_event_metrics.csv.gz; laysan_phase_null_audit.csv.gz; laysan_phase_summary.csv; mean_logchl_conditional_L_3x3_grid.csv; mean_logchl_joint_model_summary.csv; mean_vs_median_joint_model_comparison.csv
eligible,bool,field-specific,Frozen analysis field: eligible.,laysan_reconstruction_audit.csv.gz
estimable_grids,int64,field-specific,Frozen analysis field: estimable grids.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
estimable_grids_mean,int64,field-specific,Frozen analysis field: estimable grids mean.,mean_vs_median_joint_model_comparison.csv
estimable_grids_median,int64,field-specific,Frozen analysis field: estimable grids median.,mean_vs_median_joint_model_comparison.csv
estimand,str,see description,Name of the reported statistical quantity.,laysan_phase_summary.csv
event_id,str,see description,Stable identifier for one movement event within its source trajectory.,laysan_last_passage_event_metrics.csv.gz; laysan_reconstruction_audit.csv.gz
