dataset,scale_m,family,estimand,events,units,segments,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,rho_tau_distinct_cell_fraction,holm_phase_p,positive_support
usgs_laysan_albatross,500,A,E_high,4242,34,1698,0.08336612544480314,0.06849750980941924,0.09814552434763531,0.04406017514709222,0.001,999,20000,,,False
usgs_laysan_albatross,500,A,E_low,4242,34,1698,0.05859069679069541,0.04492065538969648,0.07133779371683396,0.03607342327695183,0.001,999,20000,,,False
usgs_laysan_albatross,500,A,E_union,4242,34,1698,0.14195682223549852,0.12344667786814882,0.1602439465884938,0.08013359842404402,0.001,999,20000,,,False
usgs_laysan_albatross,500,A,R_high,4242,34,1698,-0.003168215354913804,-0.00844222557186249,0.0019629953386600834,-0.0005749656829198188,0.857,999,20000,,1.0,False
usgs_laysan_albatross,500,A,R_low,4242,34,1698,-0.00037682059662895386,-0.0032283736263028244,0.0024303972032463433,-0.00048062097208160094,0.474,999,20000,,1.0,False
usgs_laysan_albatross,500,A,R_union,4242,34,1698,-0.0035450359515427597,-0.010047126891557562,0.002746811024265045,-0.001055586655001422,0.833,999,20000,,1.0,False
usgs_laysan_albatross,500,A,L_high,4242,34,1698,0.08653434079971696,0.07172937175959014,0.10132063599104993,0.04463514083001204,0.001,999,20000,,0.018000000000000002,True
usgs_laysan_albatross,500,A,L_low,4242,34,1698,0.058967517387324364,0.045554460989540045,0.07185923557563234,0.03655404424903343,0.001,999,20000,,0.018000000000000002,True
usgs_laysan_albatross,500,A,L_union,4242,34,1698,0.14550185818704126,0.12702053858663986,0.16332417032753446,0.08118918507904546,0.001,999,20000,,0.018000000000000002,True
usgs_laysan_albatross,1000,A,E_high,3573,34,1318,0.07777593071628514,0.0612667128265082,0.0938316457814626,0.04516086913312962,0.001,999,20000,,,False
usgs_laysan_albatross,1000,A,E_low,3573,34,1318,0.05381724962988887,0.04048333414927045,0.06650547364285338,0.03861638310866094,0.018,999,20000,,,False
usgs_laysan_albatross,1000,A,E_union,3573,34,1318,0.13159318034617395,0.11386736283876081,0.14882088936087215,0.08377725224179054,0.001,999,20000,,,False
usgs_laysan_albatross,1000,A,R_high,3573,34,1318,-0.006106872817844706,-0.01420404233526298,0.0007408789844435561,-0.0004607336284799235,0.974,999,20000,,1.0,False
usgs_laysan_albatross,1000,A,R_low,3573,34,1318,-0.00012005505563306937,-0.003441028900524487,0.0031677272818007693,-0.0005727069562732604,0.406,999,20000,,1.0,False
usgs_laysan_albatross,1000,A,R_union,3573,34,1318,-0.006226927873477777,-0.016193797529960547,0.0021922654918647144,-0.001033440584753187,0.952,999,20000,,1.0,False
usgs_laysan_albatross,1000,A,L_high,3573,34,1318,0.08388280353412984,0.06888402941835668,0.0986130020549388,0.045621602761609543,0.001,999,20000,,0.018000000000000002,True
usgs_laysan_albatross,1000,A,L_low,3573,34,1318,0.05393730468552194,0.04135107708546897,0.06594048156037859,0.03918909006493419,0.013,999,20000,,0.132,False
usgs_laysan_albatross,1000,A,L_union,3573,34,1318,0.13782010821965174,0.12314456860582132,0.1524344129051794,0.08481069282654373,0.001,999,20000,,0.018000000000000002,True
usgs_laysan_albatross,2000,A,E_high,2757,34,914,0.08976683397234055,0.07464438704892881,0.10527887872723396,0.0429145508022318,0.001,999,20000,,,False
usgs_laysan_albatross,2000,A,E_low,2757,34,914,0.0614603615954444,0.04720250018590103,0.07597727182484221,0.04217739895096327,0.008,999,20000,,,False
usgs_laysan_albatross,2000,A,E_union,2757,34,914,0.151227195567785,0.13077288183828942,0.17173843627082386,0.08509194975319505,0.001,999,20000,,,False
usgs_laysan_albatross,2000,A,R_high,2757,34,914,-0.004705485447068923,-0.010446489073242839,0.001137616044324265,-0.001009663501614701,0.887,999,20000,,1.0,False
usgs_laysan_albatross,2000,A,R_low,2757,34,914,0.0003226953496683683,-0.0036750835269726578,0.004454676243262338,-0.00023496978558969775,0.411,999,20000,,1.0,False
usgs_laysan_albatross,2000,A,R_union,2757,34,914,-0.004382790097400557,-0.011864065221628995,0.0033105549753133057,-0.0012446332872044013,0.805,999,20000,,1.0,False
usgs_laysan_albatross,2000,A,L_high,2757,34,914,0.09447231941940946,0.07988128107037626,0.10969239485823855,0.04392421430384649,0.001,999,20000,,0.018000000000000002,True
usgs_laysan_albatross,2000,A,L_low,2757,34,914,0.06113766624577604,0.0475403680580861,0.07484306017665963,0.04241236873655298,0.012,999,20000,,0.132,False
usgs_laysan_albatross,2000,A,L_union,2757,34,914,0.15560998566518544,0.13708441383925232,0.17398527839420855,0.08633658304039946,0.001,999,20000,,0.018000000000000002,True
