dataset,scale_m,abs_tertile,length_tertile,L_union
goto,100,0,0,0.18139458772241454
goto,100,0,1,0.2648530548641685
goto,100,0,2,0.2726254654538018
goto,100,1,0,0.15328719143770445
goto,100,1,1,0.2662638643956144
goto,100,1,2,0.28382474033282645
goto,100,2,0,0.14751714974691485
goto,100,2,1,0.24431241553784666
goto,100,2,2,0.23387004745859186
usgs_laysan_albatross,500,0,0,0.062118399876061776
usgs_laysan_albatross,500,0,1,0.19042857094706833
usgs_laysan_albatross,500,0,2,0.2023393140239551
usgs_laysan_albatross,500,1,0,0.04703037315009214
usgs_laysan_albatross,500,1,1,0.16423697361243528
usgs_laysan_albatross,500,1,2,0.23726452463853664
usgs_laysan_albatross,500,2,0,0.09874566761390782
usgs_laysan_albatross,500,2,1,0.17688857504225639
usgs_laysan_albatross,500,2,2,0.21233919724448638
usgs_laysan_albatross,1000,0,0,0.06521523258173492
usgs_laysan_albatross,1000,0,1,0.16640611756913848
usgs_laysan_albatross,1000,0,2,0.17747988708684193
usgs_laysan_albatross,1000,1,0,0.02930242372978411
usgs_laysan_albatross,1000,1,1,0.19116763089341082
usgs_laysan_albatross,1000,1,2,0.23056494452169626
usgs_laysan_albatross,1000,2,0,0.09768018986509673
usgs_laysan_albatross,1000,2,1,0.13259879053614812
usgs_laysan_albatross,1000,2,2,0.21114470822707862
usgs_laysan_albatross,2000,0,0,0.028863441841383033
usgs_laysan_albatross,2000,0,1,0.21959731250182188
usgs_laysan_albatross,2000,0,2,0.19940940664181048
usgs_laysan_albatross,2000,1,0,0.0482974762748379
usgs_laysan_albatross,2000,1,1,0.19290272181883725
usgs_laysan_albatross,2000,1,2,0.24180997274529534
usgs_laysan_albatross,2000,2,0,0.10711740281583457
usgs_laysan_albatross,2000,2,1,0.15493278613297062
usgs_laysan_albatross,2000,2,2,0.21733074939594413
