contrast,left,right,estimand,component,tail,paired_birds,left_events,right_events,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_two_sided,phase_reps,bootstrap_reps,scale_m,holm_family,holm_phase_p,coverage_gate,primary_pass
post_minus_pre,post_only,pre_only,E_high,E,high,59,182,145,0.056606177098221105,-0.06373887490678279,0.17767359706917898,-0.011725089139434472,0.315,999,20000,250,diagnostic,,True,False
post_minus_pre,post_only,pre_only,E_low,E,low,59,182,145,0.04629879204788034,-0.02703336190126186,0.12067798262683561,0.001041807866929006,0.331,999,20000,250,diagnostic,,True,False
post_minus_pre,post_only,pre_only,E_union,E,union,59,182,145,0.10290496914610142,-0.018150847694463196,0.2238760502779779,-0.010683281272505467,0.098,999,20000,250,diagnostic,,True,False
post_minus_pre,post_only,pre_only,R_high,R,high,59,182,145,-0.005786071296792121,-0.028947730854626513,0.017192414459799008,0.0007677816295395871,0.537,999,20000,250,diagnostic,,True,False
post_minus_pre,post_only,pre_only,R_low,R,low,59,182,145,0.005334345596457402,-0.003769495514357145,0.01599209961587409,0.00062220866615796,0.249,999,20000,250,diagnostic,,True,False
post_minus_pre,post_only,pre_only,R_union,R,union,59,182,145,-0.00045172570033471377,-0.024741452541018588,0.02358419247483218,0.0013899902956975478,0.869,999,20000,250,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_high,L,high,59,182,145,0.062392248395013235,-0.05178097441898117,0.17955265504930615,-0.012492870768974058,0.259,999,20000,250,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_low,L,low,59,182,145,0.04096444645142293,-0.031014570636771696,0.11402107706996362,0.0004195992007710469,0.376,999,20000,250,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_union,L,union,59,182,145,0.10335669484643618,-0.016558950720715157,0.2232228698383277,-0.012073271568203012,0.077,999,20000,250,primary_post_minus_pre_L_union_4_scales,0.308,True,False
post_minus_none,post_only,none_observed,E_high,E,high,77,212,1156,-0.04137070712627328,-0.1237536242971188,0.04519932040117466,-0.007016138595747324,0.474,999,20000,250,diagnostic,,True,False
post_minus_none,post_only,none_observed,E_low,E,low,77,212,1156,0.004800876847652111,-0.06038213795050746,0.07451084559851412,-0.005969367857493304,0.758,999,20000,250,diagnostic,,True,False
post_minus_none,post_only,none_observed,E_union,E,union,77,212,1156,-0.036569830278621214,-0.11970310158095337,0.04421660749979466,-0.012985506453240632,0.612,999,20000,250,diagnostic,,True,False
