delta_m,bin_low_s,bin_high_s,events,birds,pre_bird_equal,post_bird_equal,post_minus_pre,ci_low,ci_high
10,0,30,8556,19,0.0,0.033455101270092234,0.033455101270092234,0.01900732313403219,0.04984617818340373
10,30,120,8556,19,0.00040834814621528966,0.06817361815864185,0.06776527001242656,0.03816523354091124,0.09980600653466162
10,120,300,8556,19,0.009536757024370502,0.1250271085984324,0.11549035157406187,0.06104191362950241,0.19369874333569645
10,300,600,8556,19,0.03373800030861272,0.14308011354270014,0.10934211323408743,0.054708286073731814,0.18219915411919513
20,0,30,6412,19,0.0,0.0389382659071688,0.0389382659071688,0.022315310265655048,0.05808845462959726
20,30,120,6412,19,0.0004007909915985936,0.06392152445753158,0.06352073346593298,0.036735886430150314,0.0928482445784534
20,120,300,6412,19,0.008635600309370871,0.12147661087899533,0.11284101056962446,0.05889282400262737,0.1932009006758297
20,300,600,6412,19,0.027133511261982445,0.13685625097562557,0.10972273971364314,0.05484825486372652,0.18234740350719247
30,0,30,5136,19,0.0,0.04168244370455086,0.04168244370455086,0.02165501849440614,0.0663197212600752
30,30,120,5136,19,0.00040421629407826076,0.0620682418373833,0.06166402554330504,0.03433335138567434,0.09107207889242452
30,120,300,5136,19,0.008638298086484931,0.11628351893579786,0.10764522084931294,0.057915501035853204,0.1767652835478697
30,300,600,5136,19,0.024116494522134484,0.13730362049507958,0.1131871259729451,0.05889690179133722,0.18469056993385008
40,0,30,4184,19,0.0,0.032214716628026656,0.032214716628026656,0.017326090601068666,0.04947111107499488
40,30,120,4184,19,0.0005080513015416007,0.07097005256590672,0.07046200126436511,0.03584714170858938,0.11187404218392134
40,120,300,4184,19,0.008703703498799805,0.12039423912938146,0.11169053563058162,0.05773874422613457,0.18796980941543964
40,300,600,4184,19,0.025332641487574258,0.14165176555407094,0.11631912406649668,0.061332071706325104,0.1899812615376146
50,0,30,3482,19,0.0,0.038966866909630526,0.038966866909630526,0.02283840633751914,0.05706749100081599
50,30,120,3482,19,0.0004816461578923341,0.0756400075912863,0.07515836143339397,0.0386991030322182,0.11733483340835195
50,120,300,3482,19,0.00911518047288797,0.11509749979276601,0.10598231931987805,0.050332909752938707,0.18370578528452372
50,300,600,3482,19,0.02690405163395686,0.14442741181913726,0.11752336018518038,0.0644905653492578,0.18287219798911242
75,0,30,2293,19,0.0,0.04034027413734915,0.04034027413734915,0.02315977383743537,0.06048842977478193
75,30,120,2293,19,0.0005873828386313981,0.05652152824814807,0.05593414540951668,0.028205393173849323,0.08673740642127598
75,120,300,2293,19,0.010796204791009194,0.10463371487909365,0.09383751008808446,0.04211403717196585,0.1707059934058585
75,300,600,2293,19,0.046744115136843435,0.16781429369231446,0.121070178555471,0.06627492048077525,0.19645032914388189
100,0,30,1602,19,0.0,0.045705055318546906,0.045705055318546906,0.023972823722177284,0.07253960590455535
100,30,120,1602,19,0.0007545222657086667,0.0505684515743969,0.049813929308688235,0.020648612799575486,0.08416515479646029
100,120,300,1602,19,0.012076878821398369,0.10473818611841929,0.0926613072970209,0.038834469047670725,0.16952762860035647
100,300,600,1602,19,0.05460563356183655,0.17653682138984275,0.12193118782800622,0.05576210645825577,0.21201777070331254
150,0,30,968,18,0.0,0.04305780887458542,0.04305780887458542,0.017163478698694015,0.07443633337271466
150,30,120,968,18,0.0,0.08771113050466185,0.08771113050466185,0.03908336636046244,0.14212032208895867
150,120,300,968,18,0.012014152033044264,0.10398251032891966,0.09196835829587541,0.04941566347111542,0.14260836635122573
150,300,600,968,18,0.061804084895087846,0.16799275109837175,0.10618866620328392,0.04576377993799097,0.17615936445629324
200,0,30,702,18,0.0,0.04497529790578246,0.04497529790578246,0.02026639922325686,0.07461836129549118
200,30,120,702,18,0.0,0.08681515584903737,0.08681515584903737,0.035753826082140054,0.14904158995437194
200,120,300,702,18,0.012011387150780716,0.13962566773486895,0.1276142805840882,0.048279358698206404,0.24783138519992903
200,300,600,702,18,0.06655259790782668,0.17479113829378906,0.10823854038596238,0.004053478081473039,0.2045363643799448
300,0,30,442,18,0.0,0.06264828978381869,0.06264828978381869,0.023716086664760806,0.11036715963150366
300,30,120,442,18,0.0,0.07094164680196907,0.07094164680196907,0.03280852407902709,0.11386366122104465
300,120,300,442,18,0.01365720943680613,0.1541610513203798,0.14050384188357368,0.059452070687015045,0.26206877170777804
300,300,600,442,18,0.06496375528955207,0.2064290050098753,0.14146524972032318,0.015326139166674016,0.2800035688089267
500,0,30,264,18,0.0,0.12468136152346679,0.12468136152346679,0.02721360023991603,0.25609161793372315
500,30,120,264,18,0.0,0.05533447487966137,0.05533447487966137,0.019445197891313177,0.09929969240930464
500,120,300,264,18,0.012737288906286452,0.13090889578927625,0.11817160688298979,0.03277811880953228,0.2443206490769998
500,300,600,264,18,0.04090842731625723,0.1978447772161265,0.15693634989986924,0.05319326393791843,0.28517053664776865
750,0,30,188,18,0.0,0.07407407407407407,0.07407407407407407,0.0,0.2037037037037037
750,30,120,188,18,0.0,0.05732277976901633,0.05732277976901633,0.009259259259259259,0.11596475507765829
750,120,300,188,18,0.0063601532567049805,0.1135247668877628,0.10716461363105784,0.030314890344552932,0.205003724989357
750,300,600,188,18,0.06292159062459396,0.22285426880347162,0.15993267817887766,0.045877008404399955,0.3046484983314793
1000,0,30,139,17,0.0,0.0784313725490196,0.0784313725490196,0.0,0.2156862745098039
1000,30,120,139,17,0.0,0.06169772256728779,0.06169772256728779,0.010230179028132991,0.12885519425161338
1000,120,300,139,17,0.005347593582887701,0.11357952930842954,0.10823193572554185,0.03110742979668811,0.20567697434705107
1000,300,600,139,17,0.0707690717920897,0.195036960765861,0.12426788897377132,0.01027077497665733,0.27064977506153953
1500,0,30,106,16,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0625
1500,30,120,106,16,0.0,0.04672619047619048,0.04672619047619048,0.0,0.11875
1500,120,300,106,16,0.007352941176470588,0.16887070617720773,0.16151776500073714,0.05459610653471915,0.306266366744066
1500,300,600,106,16,0.060819327731092436,0.18004892746572312,0.1192295997346307,-0.0005620669320359727,0.26835332817337454
2000,0,30,87,16,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0625
2000,30,120,87,16,0.0,0.01875,0.01875,0.0,0.053125
2000,120,300,87,16,0.009615384615384616,0.18880910755910757,0.17919372294372293,0.06770833333333333,0.3229467667748915
2000,300,600,87,16,0.04959935897435897,0.17060543623043622,0.12100607725607726,0.001877289377289398,0.26974796037296034
