segment_key,track_id,events,old_n_steps,event_count_match,rho_coordinate_max_abs_error_km,tau_nonincreasing_adjacent_pairs,tau_duplicate_fixes,tau_confirmation_reach_positive,rho_support_old,rho_support_rebuilt,rho_support_abs_error,eligible_records_min,eligible_records_median
WA_10SCRO2003F_GPSdata_RS.xlsx|0,WA_10SCRO2003F_GPSdata_RS.xlsx,63,63,True,1.5275558595817529e-12,1,0,True,43.74651881275844,43.74651881275844,0.0,1,6.0
WA_10SCRO2003H_GPSdata_RS.xlsx|1,WA_10SCRO2003H_GPSdata_RS.xlsx,106,106,True,2.1516122217235534e-12,0,0,True,122.75716821689286,122.75716821689286,0.0,1,3.5
WA_10SCRO2003J_GPSdata_RS.xlsx|1,WA_10SCRO2003J_GPSdata_RS.xlsx,173,173,True,1.3384848784880887e-12,0,0,True,29.15803589763027,29.15803589761913,1.1141310096718371e-11,1,3.0
WA_10SCRO2003K_GPSdata_RS.xlsx|0,WA_10SCRO2003K_GPSdata_RS.xlsx,43,43,True,2.078781591308143e-12,0,0,True,16.128062881595724,16.128062881595724,0.0,1,8.0
WA_10SCRO2003U_GPSdata_RS.xlsx|1,WA_10SCRO2003U_GPSdata_RS.xlsx,76,76,True,1.5498158312254873e-12,0,0,True,16.64146520009467,16.64146520009467,0.0,1,5.5
WA_10SCRO2004T_GPSdata_RS.xlsx|1,WA_10SCRO2004T_GPSdata_RS.xlsx,81,81,True,1.4130918657428992e-12,0,0,True,2.838262478292449,2.8382624782899484,2.5006663406657026e-12,1,12.0
WA_10SCRO2005S_GPSdata_RS.xlsx|0,WA_10SCRO2005S_GPSdata_RS.xlsx,50,50,True,1.7621459846850485e-12,1,1,True,6.418593887476334,6.418593887461441,1.48929757415317e-11,1,12.0
WA_Centurion20172018CRO15111_GPSdata_RS.xlsx|1,WA_Centurion20172018CRO15111_GPSdata_RS.xlsx,132,132,True,1.3111733920823099e-12,1,0,True,164.05946491473537,164.05946491473537,0.0,1,6.0
WA_Centurion20172018CRO15121_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15121_GPSdata_RS.xlsx,226,226,True,1.3944401189291966e-12,1,1,True,166.06308610516498,166.06308610516498,0.0,1,7.0
WA_Centurion20172018CRO15141_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15141_GPSdata_RS.xlsx,186,186,True,1.4079848398296235e-12,1,0,True,110.89973564865272,110.89973564865272,0.0,1,14.0
WA_Centurion20172018CRO15151_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15151_GPSdata_RS.xlsx,31,31,True,9.698908343125368e-13,0,0,True,3.0791730675573774,3.0791730675573774,0.0,1,11.0
WA_Centurion20172018CRO15152_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15152_GPSdata_RS.xlsx,37,37,True,1.3855583347321954e-12,0,0,True,0.266491593398996,0.2664915929472045,4.517914931057021e-10,2,26.0
WA_Centurion20172018CRO15211_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15211_GPSdata_RS.xlsx,240,240,True,1.4209744492177379e-12,5,3,True,376.719011644374,376.71901164437395,5.684341886080802e-14,1,5.0
WA_Centurion20172018CRO15221_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15221_GPSdata_RS.xlsx,576,576,True,1.298072760391733e-12,5,3,True,560.9764980934351,560.9764980934351,0.0,1,6.0
WA_Centurion20172018CRO15231_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15231_GPSdata_RS.xlsx,491,491,True,1.8876566976189224e-12,1,1,True,530.8558498450539,530.8558498450539,0.0,1,7.0
WA_Centurion20172018CRO15311_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15311_GPSdata_RS.xlsx,473,473,True,2.7844393457598926e-12,3,3,True,1046.3447864395025,1046.3447864395025,0.0,1,9.0
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,223,223,True,1.4921397450962104e-12,1,1,True,245.25603077615256,245.25603077618962,3.7061909097246826e-11,1,9.0
WA_Centurion20172018CRO15331_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15331_GPSdata_RS.xlsx,67,67,True,1.1478595851599493e-12,0,0,True,63.57055019569015,63.570550195690146,7.105427357601002e-15,1,6.0
WA_Centurion20172018CRO15332_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15332_GPSdata_RS.xlsx,72,72,True,8.604228440844963e-13,1,1,True,80.84521020128238,80.84521020128238,0.0,1,5.0
WA_Centurion20172018CRO15333_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15333_GPSdata_RS.xlsx,93,93,True,1.390221271435621e-12,2,2,True,150.9336431723142,150.9336431723142,0.0,1,4.0
WA_Centurion20172018CRO15411_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15411_GPSdata_RS.xlsx,322,322,True,1.4555023852835802e-12,4,1,True,889.2506833895595,889.2506833895595,0.0,1,7.5
WA_Centurion20172018CRO15421_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15421_GPSdata_RS.xlsx,69,69,True,9.71001057337162e-13,0,0,True,82.82651759344895,82.8265175934614,1.2448708730516955e-11,1,13.0
WA_Centurion20172018CRO15431_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15431_GPSdata_RS.xlsx,74,74,True,1.2363443602225743e-12,0,0,True,53.31458709515528,53.314587095155275,7.105427357601002e-15,1,13.5
WA_Centurion20172018CRO15511_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15511_GPSdata_RS.xlsx,174,174,True,6.998845947236987e-13,1,1,True,147.48787902230606,147.48787902230606,0.0,1,12.0
WA_Centurion20172018CRO15531_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15531_GPSdata_RS.xlsx,223,223,True,1.432409746371377e-12,1,0,True,219.4428526732368,219.44285267323676,5.684341886080802e-14,1,11.0
WA_Centurion20172018CRO15541_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15541_GPSdata_RS.xlsx,40,40,True,1.4050982599655981e-12,0,0,True,-1.294569084368845,-1.2945690843626494,6.1957106112231486e-12,1,16.0
WA_Centurion20172018CRO15542_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15542_GPSdata_RS.xlsx,49,49,True,8.382183835919932e-13,0,0,True,14.342621839139156,14.342621839139156,0.0,1,8.0
WA_Centurion20172018CRO15611_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15611_GPSdata_RS.xlsx,109,109,True,8.810729923425242e-13,1,1,True,131.54530857980194,131.54530857980194,0.0,1,13.0
WA_Centurion20172018CRO15621_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15621_GPSdata_RS.xlsx,152,152,True,1.6910917111090384e-12,0,0,True,23.692448998911004,23.692448998945792,3.4788172342814505e-11,1,16.0
WA_Centurion20172018CRO15631_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15631_GPSdata_RS.xlsx,320,320,True,1.407207683712386e-12,3,1,True,177.82855787273525,177.82855787273525,0.0,1,7.0
WA_Centurion20172018CRO15711_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15711_GPSdata_RS.xlsx,252,252,True,2.0738966099997924e-12,1,0,True,156.48396119760037,156.48396119758763,1.2732925824820995e-11,1,14.0
WA_Centurion20172018CRO15821_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15821_GPSdata_RS.xlsx,277,277,True,1.7854884237777924e-12,1,1,True,244.97784501237788,244.97784501237788,0.0,1,7.0
WA_Centurion20172018CRO15911_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15911_GPSdata_RS.xlsx,218,218,True,1.4073048282270406e-12,1,1,True,460.2372386483096,460.2372386483096,0.0,1,7.5
WA_Centurion20182019CRO14011_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO14011_GPSdata_RS.xlsx,247,247,True,1.2791989689731054e-12,1,1,True,172.38581353248355,172.38581353248355,0.0,1,12.0
WA_Centurion20182019CRO18411_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO18411_GPSdata_RS.xlsx,137,137,True,1.4148682225822995e-12,2,0,True,145.74459026666727,145.74459026666727,0.0,1,13.0
WA_Centurion20182019CRO18611_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO18611_GPSdata_RS.xlsx,298,298,True,1.3482548411047901e-12,1,1,True,257.05127721158806,257.0512772118691,2.810338628478348e-10,1,12.0
WA_Centurion20182019CRO18621_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO18621_GPSdata_RS.xlsx,208,208,True,9.823253321883385e-13,0,0,True,19.32199414445404,19.32199414443926,1.4782841617488884e-11,1,9.0
WA_Centurion20182019CRO18622_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO18622_GPSdata_RS.xlsx,92,92,True,2.0516921495072893e-12,0,0,True,39.85576242021182,39.85576242021182,0.0,1,6.5
WA_Centurion20182019CRO18811_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO18811_GPSdata_RS.xlsx,211,211,True,1.4344081478157023e-12,1,1,True,180.3130855760046,180.3130855760046,0.0,1,11.0
WA_Centurion20182019CRO18821_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO18821_GPSdata_RS.xlsx,227,227,True,1.3737344595199374e-12,2,1,True,262.7399521148409,262.7399521148409,0.0,1,10.0
WA_Centurion20182019CRO18911_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO18911_GPSdata_RS.xlsx,183,183,True,1.2482237465860635e-12,0,0,True,186.6840798347805,186.6840798347805,0.0,1,11.0
WA_Centurion20182019CRO18921_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO18921_GPSdata_RS.xlsx,455,455,True,1.6711076966657856e-12,2,2,True,784.7806708546718,784.7806708546718,0.0,1,7.0
WA_Centurion20182019CRO19011_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19011_GPSdata_RS.xlsx,339,339,True,2.149391775674303e-12,3,2,True,261.4796858246805,261.4796858246805,0.0,1,10.0
WA_Centurion20182019CRO19021_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19021_GPSdata_RS.xlsx,146,146,True,1.4417356197782283e-12,0,0,True,233.33284481942317,233.33284481942314,2.842170943040401e-14,1,7.0
WA_Centurion20182019CRO19711_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19711_GPSdata_RS.xlsx,69,69,True,1.3944401189291966e-12,0,0,True,108.29353187110456,108.29353187110456,0.0,2,13.0
WA_Centurion20182019CRO19721_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19721_GPSdata_RS.xlsx,69,69,True,7.034373084024992e-13,1,0,True,14.446669007591083,14.446669007591083,0.0,1,11.0
WA_Centurion20182019CRO19731_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19731_GPSdata_RS.xlsx,150,150,True,1.1590728377086634e-12,1,1,True,151.3873123071587,151.3873123071587,0.0,1,16.0
WA_Centurion20182019CRO19921_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO19921_GPSdata_RS.xlsx,110,110,True,1.6999734953060397e-12,1,0,True,40.04656753014888,40.04656753014888,0.0,1,8.0
WA_Centurion20182019CRO19932_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO19932_GPSdata_RS.xlsx,299,299,True,2.0750068330244176e-12,1,0,True,31.90375943095273,31.903759431025037,7.23083815046266e-11,1,8.0
WA_Centurion20182019CRO19941_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO19941_GPSdata_RS.xlsx,923,923,True,1.7685852782278744e-12,4,4,True,368.68143875983606,368.6814387598861,5.002220859751105e-11,1,4.0
WA_Centurion20182019CRO20111_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO20111_GPSdata_RS.xlsx,37,37,True,7.371880883511039e-13,0,0,True,35.669594167127514,35.669594167127514,0.0,1,16.0
WA_Centurion20182019CRO20121_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO20121_GPSdata_RS.xlsx,39,39,True,1.4428458428028534e-12,0,0,True,20.090589926295195,20.090589926295195,0.0,1,8.0
WA_Centurion20182019CRO20131_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO20131_GPSdata_RS.xlsx,84,84,True,1.4228618283596006e-12,0,0,True,37.241943742995886,37.241943742995886,0.0,1,25.5
WA_Centurion20182019CRO20211_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO20211_GPSdata_RS.xlsx,123,123,True,1.7905676941154525e-12,0,0,True,119.66330622492364,119.66330622492364,0.0,1,16.0
WA_Centurion20182019CRO20221_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO20221_GPSdata_RS.xlsx,246,246,True,2.6209590053838383e-12,0,0,True,214.1341760590717,214.1341760590717,0.0,1,11.0
WA_Centurion20182019CRO20321_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO20321_GPSdata_RS.xlsx,158,158,True,1.2505552149377763e-12,1,0,True,223.92904053611392,223.92904053622647,1.1254996934439987e-10,1,22.0
WA_Centurion20182019CRO20911_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO20911_GPSdata_RS.xlsx,52,52,True,1.6328050023162177e-12,0,0,True,68.69665523953472,68.69665523953472,0.0,1,15.5
WA_Centurion20182019CRO20921_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO20921_GPSdata_RS.xlsx,97,97,True,1.3429257705865894e-12,0,0,True,101.88391039422812,101.88391039423061,2.4868995751603507e-12,1,10.0
WA_Centurion20182019CRO20931_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO20931_GPSdata_RS.xlsx,136,136,True,1.408095862132086e-12,1,1,True,83.8978035276823,83.89780352765797,2.432898327242583e-11,1,22.0
WA_Centurion20182019CRO21111_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21111_GPSdata_RS.xlsx,352,352,True,1.6344703368531555e-12,1,1,True,319.238594729072,319.23859472908,7.958078640513122e-12,1,7.0
WA_Centurion20182019CRO21121_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21121_GPSdata_RS.xlsx,118,118,True,1.1297629498585593e-12,0,0,True,56.69576242834614,56.69576242834614,0.0,1,12.5
WA_Centurion20182019CRO21211_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21211_GPSdata_RS.xlsx,112,112,True,1.396660564978447e-12,0,0,True,217.5282150150817,217.52821501508174,2.842170943040401e-14,1,16.5
WA_Centurion20182019CRO21221_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21221_GPSdata_RS.xlsx,46,46,True,8.57980353430321e-13,0,0,True,3.962964318530055,3.9629643185335226,3.467448550509289e-12,1,16.0
WA_Centurion20182019CRO21222_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21222_GPSdata_RS.xlsx,162,162,True,1.475486399726833e-12,0,0,True,194.2891167406065,194.28911674060646,2.842170943040401e-14,1,9.0
WA_Centurion20182019CRO21311_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21311_GPSdata_RS.xlsx,305,305,True,1.503019930737537e-12,3,1,True,736.9125577655279,736.9125577655645,3.660716174636036e-11,1,6.0
WA_Centurion20182019CRO21421_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21421_GPSdata_RS.xlsx,155,155,True,1.3695711231775931e-12,0,0,True,164.03444939703888,164.03444939703888,0.0,1,11.0
WA_Centurion20182019CRO21611_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21611_GPSdata_RS.xlsx,174,174,True,1.3532508447156033e-12,1,0,True,102.49558426874046,102.49558426874046,0.0,1,14.0
WA_Centurion20182019CRO21621_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21621_GPSdata_RS.xlsx,61,61,True,1.3482548411047901e-12,0,0,True,50.80910750066238,50.80910750066238,0.0,1,16.0
