property,segments,total_segments,percent_segments,figure,panel,record_type,replicate,rho_chl_support,rho_chl_median_log_length
Valid observed partition,129.0,129.0,100.0,Supplementary Figure 5,a,partition diagnostic,,,
Non-monotone confirmation,70.0,129.0,54.26356589147287,Supplementary Figure 5,a,partition diagnostic,,,
Repeated confirmation,52.0,129.0,40.310077519379846,Supplementary Figure 5,a,partition diagnostic,,,
,,,,Supplementary Figure 5,b-d,eligible-record replacement,0,-0.147009168157424,-0.0986583184257603
,,,,Supplementary Figure 5,b-d,eligible-record replacement,1,-0.1576978980322003,-0.0876453488372093
,,,,Supplementary Figure 5,b-d,eligible-record replacement,2,-0.1478085867620751,-0.10625
,,,,Supplementary Figure 5,b-d,eligible-record replacement,3,-0.1411728533094812,-0.1452985241502683
,,,,Supplementary Figure 5,b-d,eligible-record replacement,4,-0.1420393559928443,-0.1067307692307692
,,,,Supplementary Figure 5,b-d,eligible-record replacement,5,-0.1400603756708408,-0.1089110017889087
,,,,Supplementary Figure 5,b-d,eligible-record replacement,6,-0.1486639087656529,-0.0975346601073345
,,,,Supplementary Figure 5,b-d,eligible-record replacement,7,-0.154695885509839,-0.127974060822898
,,,,Supplementary Figure 5,b-d,eligible-record replacement,8,-0.1391435599284436,-0.1146690518783542
,,,,Supplementary Figure 5,b-d,eligible-record replacement,9,-0.1433474955277281,-0.1069599731663685
,,,,Supplementary Figure 5,b-d,eligible-record replacement,10,-0.1362030411449016,-0.0945550089445438
,,,,Supplementary Figure 5,b-d,eligible-record replacement,11,-0.1558586762075134,-0.0980713327370304
,,,,Supplementary Figure 5,b-d,eligible-record replacement,12,-0.1489210644007156,-0.1172517889087656
,,,,Supplementary Figure 5,b-d,eligible-record replacement,13,-0.1514982110912343,-0.08716457960644
,,,,Supplementary Figure 5,b-d,eligible-record replacement,14,-0.1369800983899821,-0.1431015205724508
,,,,Supplementary Figure 5,b-d,eligible-record replacement,15,-0.1600793828264758,-0.1032983005366726
,,,,Supplementary Figure 5,b-d,eligible-record replacement,16,-0.1446276833631485,-0.1028790250447227
,,,,Supplementary Figure 5,b-d,eligible-record replacement,17,-0.128275939177102,-0.1441245527728086
,,,,Supplementary Figure 5,b-d,eligible-record replacement,18,-0.1447003577817531,-0.0865105098389982
,,,,Supplementary Figure 5,b-d,eligible-record replacement,19,-0.1533318425760286,-0.1006149373881932
,,,,Supplementary Figure 5,b-d,eligible-record replacement,20,-0.129729427549195,-0.1151106887298748
,,,,Supplementary Figure 5,b-d,eligible-record replacement,21,-0.1398144007155635,-0.1054002683363148
,,,,Supplementary Figure 5,b-d,eligible-record replacement,22,-0.1428275939177102,-0.1005646243291592
,,,,Supplementary Figure 5,b-d,eligible-record replacement,23,-0.1342631932021467,-0.1178723166368515
,,,,Supplementary Figure 5,b-d,eligible-record replacement,24,-0.1488707513416816,-0.0943984794275492
,,,,Supplementary Figure 5,b-d,eligible-record replacement,25,-0.1482893559928444,-0.1255031305903399
,,,,Supplementary Figure 5,b-d,eligible-record replacement,26,-0.146673747763864,-0.1340675313059034
