dataset,scale_m,event_id,n_runs,n_record_runs,decomposition_residual,panel,temporal_identity_residual,frozen_events,geometry_pass,a_chl_eligible,a_decomposition_eligible,b_chl_eligible,rho_tau_distinct_cell,rho_tau_distinct_cell_fraction
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|0,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|1,8.0,7.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|2,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|4,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|6,7.0,7.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|7,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|8,8.0,8.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|10,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|11,6.0,6.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|12,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|13,14.0,14.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|15,6.0,6.0,0.0,a-c,,,,,,,,
