figure,panel,system,scale_m,estimand,estimate,ci_low,ci_high,phase_null_mean,n_events,n_units,holm_adjusted_p
Supplementary Figure 4,a,Wandering albatross,10,landing post minus pre,0.3092956292644005,0.1950717651861766,0.4434689093939796,3.244431464859865e-05,8556.0,19,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,20,landing post minus pre,0.3080984447084156,0.1911765337020929,0.4447237491794256,0.0001609745331596,6412.0,19,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,30,landing post minus pre,0.3115026577860424,0.1928035709917546,0.4506605370079321,5.853713537729706e-05,5136.0,19,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,40,landing post minus pre,0.3180382104134214,0.1954895026878198,0.4578816643575892,0.0002634685100786,4184.0,19,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,50,landing post minus pre,0.324107186900352,0.2043130911919374,0.4589100882622402,0.000268979418618,3482.0,19,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,75,landing post minus pre,0.2956701942071588,0.1924278187446419,0.4155337692568555,0.0002188144232845,2293.0,19,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,100,landing post minus pre,0.2978686258065701,0.1918453469226279,0.4167389427495316,0.0007165950669072,1602.0,19,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,150,landing post minus pre,0.3070683239036254,0.1960332571893774,0.4306049165642058,-4.831139147119004e-05,968.0,18,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,200,landing post minus pre,0.3372323891864834,0.2201943975267083,0.4627548122769427,-0.0006698433083942,702.0,18,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,300,landing post minus pre,0.3823299949606513,0.2368634391539869,0.5365094170577714,-0.0003504688639325,442.0,18,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,500,landing post minus pre,0.4158079391304441,0.2427706571678507,0.5977133308571849,0.0005337335556058,264.0,18,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,750,landing post minus pre,0.3525969553592838,0.1909273216415411,0.527544802867383,-2.8827193769166918e-05,188.0,18,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,1000,landing post minus pre,0.3217418983403637,0.1529555003819709,0.5097016843628096,-0.000224725257692,139.0,17,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,1500,landing post minus pre,0.306640221878225,0.1276536930561698,0.4992888125644993,0.0005156997272593,106.0,16,0.002999400119976
Supplementary Figure 4,a,Wandering albatross,2000,landing post minus pre,0.313267982017982,0.1346120025807526,0.5028637508325007,-0.0010438771645021,87.0,16,0.002999400119976
Supplementary Figure 4,b,Short-tailed shearwater,500,foraging-dominant footprint,0.3563681926903409,0.2121842046842046,0.5004235150576615,0.0803169052375822,35.0,9,0.012
