segment_key,track_id,events,old_n_steps,event_count_match,rho_coordinate_max_abs_error_km,tau_nonincreasing_adjacent_pairs,tau_duplicate_fixes,tau_confirmation_reach_positive,rho_support_old,rho_support_rebuilt,rho_support_abs_error,eligible_records_min,eligible_records_median,panel,replicate,rho_chl_support,rho_chl_median_log_length
WA_10SCRO2003F_GPSdata_RS.xlsx|0,WA_10SCRO2003F_GPSdata_RS.xlsx,63.0,63.0,True,1.5275558595817529e-12,1.0,0.0,True,43.74651881275844,43.74651881275844,0.0,1.0,6.0,a-c,,,
WA_10SCRO2003H_GPSdata_RS.xlsx|1,WA_10SCRO2003H_GPSdata_RS.xlsx,106.0,106.0,True,2.1516122217235534e-12,0.0,0.0,True,122.75716821689286,122.75716821689286,0.0,1.0,3.5,a-c,,,
WA_10SCRO2003J_GPSdata_RS.xlsx|1,WA_10SCRO2003J_GPSdata_RS.xlsx,173.0,173.0,True,1.338484878488089e-12,0.0,0.0,True,29.15803589763027,29.15803589761913,1.1141310096718373e-11,1.0,3.0,a-c,,,
WA_10SCRO2003K_GPSdata_RS.xlsx|0,WA_10SCRO2003K_GPSdata_RS.xlsx,43.0,43.0,True,2.078781591308143e-12,0.0,0.0,True,16.128062881595724,16.128062881595724,0.0,1.0,8.0,a-c,,,
WA_10SCRO2003U_GPSdata_RS.xlsx|1,WA_10SCRO2003U_GPSdata_RS.xlsx,76.0,76.0,True,1.5498158312254873e-12,0.0,0.0,True,16.64146520009467,16.64146520009467,0.0,1.0,5.5,a-c,,,
WA_10SCRO2004T_GPSdata_RS.xlsx|1,WA_10SCRO2004T_GPSdata_RS.xlsx,81.0,81.0,True,1.4130918657428992e-12,0.0,0.0,True,2.838262478292449,2.8382624782899484,2.5006663406657026e-12,1.0,12.0,a-c,,,
WA_10SCRO2005S_GPSdata_RS.xlsx|0,WA_10SCRO2005S_GPSdata_RS.xlsx,50.0,50.0,True,1.7621459846850485e-12,1.0,1.0,True,6.418593887476334,6.418593887461441,1.48929757415317e-11,1.0,12.0,a-c,,,
WA_Centurion20172018CRO15111_GPSdata_RS.xlsx|1,WA_Centurion20172018CRO15111_GPSdata_RS.xlsx,132.0,132.0,True,1.31117339208231e-12,1.0,0.0,True,164.05946491473537,164.05946491473537,0.0,1.0,6.0,a-c,,,
WA_Centurion20172018CRO15121_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15121_GPSdata_RS.xlsx,226.0,226.0,True,1.3944401189291966e-12,1.0,1.0,True,166.06308610516498,166.06308610516498,0.0,1.0,7.0,a-c,,,
WA_Centurion20172018CRO15141_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15141_GPSdata_RS.xlsx,186.0,186.0,True,1.4079848398296237e-12,1.0,0.0,True,110.89973564865272,110.89973564865272,0.0,1.0,14.0,a-c,,,
