scale_m,contrast,left,right,estimand,component,tail,paired_birds,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,holm_family,holm_phase_p,coverage_gate,primary_pass
250,dive_minus_wet,dive_near,wet_only_near,E_high,E,high,88,-0.06012881576387674,-0.14317493461340194,0.0223811373375109,-0.006204170868293535,0.916,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
250,dive_minus_wet,dive_near,wet_only_near,E_low,E,low,88,-0.00803473130716409,-0.06575801201553776,0.05294888190684479,0.0051104579007518166,0.671,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
250,dive_minus_wet,dive_near,wet_only_near,E_union,E,union,88,-0.06816354707104083,-0.1421624663091904,0.006296031703321239,-0.0010937129675417196,0.957,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
250,dive_minus_wet,dive_near,wet_only_near,R_high,R,high,88,-0.01051728680353085,-0.02275432126358515,0.0008320023952765635,-0.003102632124056079,0.876,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
250,dive_minus_wet,dive_near,wet_only_near,R_low,R,low,88,-0.0058617205284566395,-0.011322459737968431,-0.0007453653806077859,-0.0009731642689089352,0.988,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
250,dive_minus_wet,dive_near,wet_only_near,R_union,R,union,88,-0.01637900733198749,-0.03019645664391549,-0.0034678167943992264,-0.0040757963929650125,0.967,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
250,dive_minus_wet,dive_near,wet_only_near,L_high,L,high,88,-0.04961152896034589,-0.13012432309617183,0.031191037679819622,-0.003101538744237456,0.884,999,5000,secondary_dive_minus_wet_L_sides_8,1.0,True,False
250,dive_minus_wet,dive_near,wet_only_near,L_low,L,low,88,-0.002173010778707454,-0.058692459155928974,0.058071957709287976,0.006083622169660754,0.613,999,5000,secondary_dive_minus_wet_L_sides_8,1.0,True,False
250,dive_minus_wet,dive_near,wet_only_near,L_union,L,union,88,-0.0517845397390534,-0.12461103745829823,0.019211027937600576,0.0029820834254232925,0.928,999,5000,primary_dive_minus_wet_L_union_4_scales,1.0,True,False
250,dive_minus_no_tdr,dive_near,no_tdr_near,E_high,E,high,88,-0.06988353031092363,-0.1514862301014401,0.015412900406642045,-0.006989709347256011,0.93,999,5000,descriptive,,True,False
250,dive_minus_no_tdr,dive_near,no_tdr_near,E_low,E,low,88,0.0008500503306574148,-0.05980780544371701,0.06033834068522675,-0.011272152646832997,0.358,999,5000,descriptive,,True,False
250,dive_minus_no_tdr,dive_near,no_tdr_near,E_union,E,union,88,-0.06903347998026625,-0.1585505973212128,0.01992465733792557,-0.01826186199408902,0.882,999,5000,descriptive,,True,False
250,dive_minus_no_tdr,dive_near,no_tdr_near,R_high,R,high,88,-0.01759536897972727,-0.03634362325676345,-0.0018749891038291073,-0.003694975998338437,0.982,999,5000,descriptive,,True,False
250,dive_minus_no_tdr,dive_near,no_tdr_near,R_low,R,low,88,-0.009825643873757133,-0.016851314706071072,-0.003371414988787095,-0.0011599625280261914,0.986,999,5000,descriptive,,True,False
250,dive_minus_no_tdr,dive_near,no_tdr_near,R_union,R,union,88,-0.027421012853484437,-0.04607884800766387,-0.01103512823689675,-0.004854938526364629,1.0,999,5000,descriptive,,True,False
250,dive_minus_no_tdr,dive_near,no_tdr_near,L_high,L,high,88,-0.05228816133119638,-0.13197578789604297,0.031502137795453244,-0.003294733348917571,0.872,999,5000,secondary_dive_minus_no_tdr_L_all_12,1.0,True,False
250,dive_minus_no_tdr,dive_near,no_tdr_near,L_low,L,low,88,0.010675694204414565,-0.04877924086811431,0.06921780733594689,-0.010112190118806806,0.273,999,5000,secondary_dive_minus_no_tdr_L_all_12,1.0,True,False
250,dive_minus_no_tdr,dive_near,no_tdr_near,L_union,L,union,88,-0.04161246712678182,-0.1272331365753879,0.04260981959371048,-0.013406923467724383,0.755,999,5000,secondary_dive_minus_no_tdr_L_all_12,1.0,True,False
500,dive_minus_wet,dive_near,wet_only_near,E_high,E,high,82,-0.11983530311642161,-0.20370213522531563,-0.03632730330436891,-0.0008099772532458051,0.998,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
500,dive_minus_wet,dive_near,wet_only_near,E_low,E,low,82,0.03495041155587723,-0.03439964163282338,0.10646952447333446,1.972946457713316e-05,0.143,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
500,dive_minus_wet,dive_near,wet_only_near,E_union,E,union,82,-0.08488489156054438,-0.16140563087340162,-0.00820455967028065,-0.0007902477886686693,0.97,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
500,dive_minus_wet,dive_near,wet_only_near,R_high,R,high,82,-0.002662184761692541,-0.012820907824351645,0.007281633555736667,-0.0007749321954377417,0.65,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
500,dive_minus_wet,dive_near,wet_only_near,R_low,R,low,82,-0.0037981765885248217,-0.011324986606695323,0.0031760291350772045,-0.0011139077691169263,0.829,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
500,dive_minus_wet,dive_near,wet_only_near,R_union,R,union,82,-0.006460361350217366,-0.017720301263463138,0.004779164409871084,-0.0018888399645546688,0.807,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
