scale_m,event_id,cluster,segment_key,direction_group
250,339|1|RFBO_iGotU|1,1777-28242,339|1,none_observed
250,339|2|RFBO_iGotU|2,1777-28242,339|2,none_observed
250,339|2|RFBO_iGotU|3,1777-28242,339|2,none_observed
250,339|2|RFBO_iGotU|7,1777-28242,339|2,post_only
250,339|2|RFBO_iGotU|10,1777-28242,339|2,none_observed
250,339|2|RFBO_iGotU|12,1777-28242,339|2,none_observed
250,339|2|RFBO_iGotU|13,1777-28242,339|2,none_observed
250,339|2|RFBO_iGotU|14,1777-28242,339|2,pre_only
250,339|2|RFBO_iGotU|15,1777-28242,339|2,none_observed
250,339|2|RFBO_iGotU|17,1777-28242,339|2,none_observed
250,339|2|RFBO_iGotU|18,1777-28242,339|2,both
250,339|2|RFBO_iGotU|19,1777-28242,339|2,none_observed
250,339|2|RFBO_iGotU|37,1777-28242,339|2,pre_only
250,339|2|RFBO_iGotU|43,1777-28242,339|2,none_observed
250,341|1|RFBO_iGotU|6,2007-07121,341|1,post_only
250,341|1|RFBO_iGotU|8,2007-07121,341|1,none_observed
250,341|1|RFBO_iGotU|9,2007-07121,341|1,none_observed
250,341|1|RFBO_iGotU|11,2007-07121,341|1,none_observed
250,342|3|RFBO_iGotU|1,2007-07122,342|3,none_observed
250,342|3|RFBO_iGotU|3,2007-07122,342|3,none_observed
250,343|1|RFBO_iGotU|4,2007-07123,343|1,none_observed
250,343|1|RFBO_iGotU|5,2007-07123,343|1,none_observed
250,343|1|RFBO_iGotU|7,2007-07123,343|1,pre_only
250,343|1|RFBO_iGotU|8,2007-07123,343|1,post_only
250,343|1|RFBO_iGotU|10,2007-07123,343|1,both
250,343|1|RFBO_iGotU|11,2007-07123,343|1,post_only
250,343|1|RFBO_iGotU|12,2007-07123,343|1,none_observed
250,343|1|RFBO_iGotU|13,2007-07123,343|1,post_only
250,343|1|RFBO_iGotU|26,2007-07123,343|1,none_observed
250,343|1|RFBO_iGotU|27,2007-07123,343|1,post_only
250,343|1|RFBO_iGotU|29,2007-07123,343|1,none_observed
250,343|1|RFBO_iGotU|31,2007-07123,343|1,none_observed
250,343|1|RFBO_iGotU|32,2007-07123,343|1,post_only
250,343|1|RFBO_iGotU|33,2007-07123,343|1,none_observed
250,344|1|RFBO_iGotU|4,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|6,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|9,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|10,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|11,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|12,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|14,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|15,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|16,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|26,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|28,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|30,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|31,2007-07124,344|1,both
250,344|1|RFBO_iGotU|32,2007-07124,344|1,post_only
250,344|1|RFBO_iGotU|34,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|35,2007-07124,344|1,none_observed
250,344|1|RFBO_iGotU|39,2007-07124,344|1,none_observed
250,345|1|RFBO_iGotU|2,2007-07125,345|1,both
250,345|1|RFBO_iGotU|3,2007-07125,345|1,pre_only
250,345|4|RFBO_iGotU|5,2007-07125,345|4,none_observed
250,345|4|RFBO_iGotU|6,2007-07125,345|4,post_only
250,345|4|RFBO_iGotU|8,2007-07125,345|4,none_observed
250,345|4|RFBO_iGotU|10,2007-07125,345|4,post_only
250,345|4|RFBO_iGotU|11,2007-07125,345|4,none_observed
250,345|4|RFBO_iGotU|12,2007-07125,345|4,none_observed
250,345|4|RFBO_iGotU|13,2007-07125,345|4,none_observed
250,346|1|RFBO_iGotU|5,2007-07126,346|1,none_observed
250,346|1|RFBO_iGotU|10,2007-07126,346|1,pre_only
250,346|1|RFBO_iGotU|16,2007-07126,346|1,none_observed
250,346|1|RFBO_iGotU|21,2007-07126,346|1,none_observed
250,346|1|RFBO_iGotU|22,2007-07126,346|1,none_observed
250,346|1|RFBO_iGotU|24,2007-07126,346|1,post_only
250,346|1|RFBO_iGotU|26,2007-07126,346|1,none_observed
250,346|1|RFBO_iGotU|29,2007-07126,346|1,none_observed
250,346|1|RFBO_iGotU|30,2007-07126,346|1,none_observed
250,346|1|RFBO_iGotU|34,2007-07126,346|1,none_observed
250,346|1|RFBO_iGotU|36,2007-07126,346|1,none_observed
250,346|1|RFBO_iGotU|40,2007-07126,346|1,none_observed
250,347|1|RFBO_iGotU|3,2007-07127,347|1,none_observed
250,347|1|RFBO_iGotU|11,2007-07127,347|1,none_observed
250,347|1|RFBO_iGotU|12,2007-07127,347|1,none_observed
250,347|1|RFBO_iGotU|13,2007-07127,347|1,none_observed
250,347|1|RFBO_iGotU|14,2007-07127,347|1,pre_only
250,348|1|RFBO_iGotU|3,2007-07128,348|1,none_observed
250,348|1|RFBO_iGotU|6,2007-07128,348|1,pre_only
250,348|1|RFBO_iGotU|12,2007-07128,348|1,none_observed
250,348|1|RFBO_iGotU|13,2007-07128,348|1,none_observed
250,348|1|RFBO_iGotU|14,2007-07128,348|1,none_observed
250,348|1|RFBO_iGotU|15,2007-07128,348|1,none_observed
250,348|1|RFBO_iGotU|16,2007-07128,348|1,none_observed
250,348|1|RFBO_iGotU|17,2007-07128,348|1,none_observed
250,348|1|RFBO_iGotU|21,2007-07128,348|1,pre_only
250,349|4|RFBO_iGotU|2,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|3,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|4,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|6,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|8,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|10,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|11,2007-07131,349|4,pre_only
250,349|4|RFBO_iGotU|12,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|13,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|14,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|15,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|17,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|19,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|25,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|26,2007-07131,349|4,none_observed
250,349|4|RFBO_iGotU|30,2007-07131,349|4,none_observed
250,350|4|RFBO_iGotU|0,2007-07132,350|4,none_observed
250,351|1|RFBO_iGotU|9,2007-07133,351|1,none_observed
250,351|1|RFBO_iGotU|10,2007-07133,351|1,none_observed
250,351|1|RFBO_iGotU|11,2007-07133,351|1,post_only
