run_id,start_min,start_max,end_min,end_max,deployment_id,bird_id,start_spread_s,end_spread_s
BiP_WA_CROZET2020_F19818_N18022_G|1|5874|14072,1579955235.0,1579955235.0,1579963433.0,1579963433.0,BiP_WA_CROZET2020_F19818_N18022_G,F19818,0.0,0.0
BiP_WA_CROZET2020_F21278_NW11_No1_all_G|5|3061|124600,1579490479.0,1579490479.0,1579612018.0,1579612018.0,BiP_WA_CROZET2020_F21278_NW11_No1_all_G,F21278,0.0,0.0
BiP_WA_CROZET2020_F22526_N17005_G|6|21335|35328,1581361706.0,1581361706.0,1581375699.0,1581375699.0,BiP_WA_CROZET2020_F22526_N17005_G,F22526,0.0,0.0
BiP_WA_CROZET2020_F22527_NW11_No1_all_G|7|29346|202896,1582301286.0,1582301287.0,1582474836.0,1582474837.0,BiP_WA_CROZET2020_F22527_NW11_No1_all_G,F22527,1.0,1.0
BiP_WA_CROZET2020_F22675_NW02_trimed_G|8|661|133847,1579622042.0,1579622070.0,1579755228.0,1579755256.0,BiP_WA_CROZET2020_F22675_NW02_trimed_G,F22675,28.0,28.0
BiP_WA_CROZET2020_F28262_NW08_No1_all_G|11|114883|152662,1579618123.0,1579618135.0,1579655902.0,1579655914.0,BiP_WA_CROZET2020_F28262_NW08_No1_all_G,F28262,12.0,12.0
BiP_WA_CROZET2020_F28266_N17018_G|13|3804|7402,1580126161.0,1580126161.0,1580129759.0,1580129759.0,BiP_WA_CROZET2020_F28266_N17018_G,F28266,0.0,0.0
BiP_WA_CROZET2020_F28388_N17009_G|14|9425|30760,1580197627.0,1580197627.0,1580218962.0,1580218962.0,BiP_WA_CROZET2020_F28388_N17009_G,F28388,0.0,0.0
BiP_WA_CROZET2020_F28388_N17012_G|15|11054|14355,1580103525.0,1580103525.0,1580106826.0,1580106826.0,BiP_WA_CROZET2020_F28388_N17012_G,F28388,0.0,0.0
BiP_WA_CROZET2020_F28633_N17015_G|17|11694|32091,1580015443.0,1580015443.0,1580035840.0,1580035840.0,BiP_WA_CROZET2020_F28633_N17015_G,F28633,0.0,0.0
BiP_WA_CROZET2020_F28633_N18029_G|18|28051|34254,1579937749.0,1579937749.0,1579943952.0,1579943952.0,BiP_WA_CROZET2020_F28633_N18029_G,F28633,0.0,0.0
BiP_WA_CROZET2020_F28715_NW10_No1_all_G|19|12781|223534,1579496064.0,1579496100.0,1579706817.0,1579706853.0,BiP_WA_CROZET2020_F28715_NW10_No1_all_G,F28715,36.0,36.0
BiP_WA_CROZET2020_F9184_NW11_No1_all_G|20|4024|110993,1580964371.0,1580964371.0,1581071340.0,1581071340.0,BiP_WA_CROZET2020_F9184_NW11_No1_all_G,F9184,0.0,0.0
BiP_WA_CROZET2020_M19162_NW03_No1_all_G|21|1363|137059,1579571319.0,1579571368.0,1579707015.0,1579707064.0,BiP_WA_CROZET2020_M19162_NW03_No1_all_G,M19162,49.0,49.0
BiP_WA_CROZET2020_M20216_N18020_G|22|28471|32721,1579614478.0,1579614478.0,1579618728.0,1579618728.0,BiP_WA_CROZET2020_M20216_N18020_G,M20216,0.0,0.0
BiP_WA_CROZET2020_M20227_NW06_No1_all_G|23|81660|197408,1579647514.0,1579647538.0,1579763262.0,1579763286.0,BiP_WA_CROZET2020_M20227_NW06_No1_all_G,M20227,24.0,24.0
BiP_WA_CROZET2020_M20479_N17007_G|24|6485|20948,1581337625.0,1581337625.0,1581352088.0,1581352088.0,BiP_WA_CROZET2020_M20479_N17007_G,M20479,0.0,0.0
BiP_WA_CROZET2020_M25207_NW09_No1_all_G|26|3357|194780,1581112176.0,1581112221.0,1581303599.0,1581303644.0,BiP_WA_CROZET2020_M25207_NW09_No1_all_G,M25207,45.0,45.0
BiP_WA_CROZET2020_M28191_NW07_No1_all_G|27|79070|191736,1579574332.0,1579574333.0,1579686998.0,1579686999.0,BiP_WA_CROZET2020_M28191_NW07_No1_all_G,M28191,1.0,1.0
BiP_WA_CROZET2020_M29963_NW06_No1_all_G|28|94977|206078,1581569262.0,1581569285.0,1581680363.0,1581680386.0,BiP_WA_CROZET2020_M29963_NW06_No1_all_G,M29963,23.0,23.0
BiP_WA_CROZET2020_M30439_NW09_No1_all_G|30|32612|73665,1579359350.0,1579359364.0,1579400403.0,1579400417.0,BiP_WA_CROZET2020_M30439_NW09_No1_all_G,M30439,14.0,14.0
BiP_WA_CROZET2020_M30439_NW09_No1_all_G|31|16232|108183,1579417745.0,1579417769.0,1579509696.0,1579509720.0,BiP_WA_CROZET2020_M30439_NW09_No1_all_G,M30439,24.0,24.0
