event_id,scale_m,run_key,individual,status,support_points,native_cell_runs,record_cell_runs,maximum_nearest_grid_distance_deg
500|1:H001:P000|1|0|15,500,1:H001:P000,1,ok,16,3,3,0.022344099359418525
500|1:H001:P000|2|15|36,500,1:H001:P000,1,ok,22,6,5,0.02369937402317281
500|1:H001:P000|3|36|42,500,1:H001:P000,1,ok,7,4,3,0.02369937402317281
500|1:H001:P000|4|42|50,500,1:H001:P000,1,ok,9,3,3,0.020636612862486026
500|1:H001:P000|5|50|59,500,1:H001:P000,1,ok,10,6,5,0.02294112343825625
500|1:H001:P000|6|59|86,500,1:H001:P000,1,ok,28,15,15,0.022638564090173244
500|1:H001:P000|8|99|105,500,1:H001:P000,1,ok,7,3,3,0.025623157918254792
500|1:H001:P000|9|105|110,500,1:H001:P000,1,ok,6,3,2,0.017826741840677306
500|1:H001:P000|11|121|155,500,1:H001:P000,1,ok,35,15,15,0.02361384553568625
500|1:H001:P000|12|155|170,500,1:H001:P000,1,ok,16,4,3,0.022290886685309343
1000|1:H001:P000|1|0|15,1000,1:H001:P000,1,ok,16,3,3,0.022344099359418525
1000|1:H001:P000|2|15|36,1000,1:H001:P000,1,ok,22,6,5,0.02369937402317281
1000|1:H001:P000|3|36|42,1000,1:H001:P000,1,ok,7,4,3,0.02369937402317281
1000|1:H001:P000|4|42|50,1000,1:H001:P000,1,ok,9,3,3,0.020636612862486026
1000|1:H001:P000|5|50|59,1000,1:H001:P000,1,ok,10,6,5,0.02294112343825625
1000|1:H001:P000|6|59|86,1000,1:H001:P000,1,ok,28,15,15,0.022638564090173244
1000|1:H001:P000|7|86|105,1000,1:H001:P000,1,ok,20,3,3,0.025623157918254792
1000|1:H001:P000|8|105|121,1000,1:H001:P000,1,ok,17,4,3,0.02024084884372166
1000|1:H001:P000|9|121|155,1000,1:H001:P000,1,ok,35,15,15,0.02361384553568625
1000|1:H001:P000|10|155|170,1000,1:H001:P000,1,ok,16,4,3,0.022290886685309343
2000|1:H001:P000|1|0|15,2000,1:H001:P000,1,ok,16,3,3,0.022344099359418525
2000|1:H001:P000|2|15|36,2000,1:H001:P000,1,ok,22,6,5,0.02369937402317281
2000|1:H001:P000|3|36|42,2000,1:H001:P000,1,ok,7,4,3,0.02369937402317281
2000|1:H001:P000|4|42|59,2000,1:H001:P000,1,ok,18,8,7,0.02294112343825625
2000|1:H001:P000|5|59|86,2000,1:H001:P000,1,ok,28,15,15,0.022638564090173244
2000|1:H001:P000|6|86|105,2000,1:H001:P000,1,ok,20,3,3,0.025623157918254792
2000|1:H001:P000|7|105|121,2000,1:H001:P000,1,ok,17,4,3,0.02024084884372166
2000|1:H001:P000|8|121|155,2000,1:H001:P000,1,ok,35,15,15,0.02361384553568625
2000|1:H001:P000|9|155|170,2000,1:H001:P000,1,ok,16,4,3,0.022290886685309343
5000|1:H001:P000|1|0|58,5000,1:H001:P000,1,ok,59,17,10,0.02369937402317281
5000|1:H001:P000|2|58|86,5000,1:H001:P000,1,ok,29,16,15,0.022638564090173244
5000|1:H001:P000|3|86|105,5000,1:H001:P000,1,ok,20,3,3,0.025623157918254792
5000|1:H001:P000|4|105|121,5000,1:H001:P000,1,ok,17,4,3,0.02024084884372166
5000|1:H001:P000|5|121|155,5000,1:H001:P000,1,ok,35,15,15,0.02361384553568625
500|10:H001:P000|1|0|99,500,10:H001:P000,10,ok,100,19,18,0.025339241190737053
500|10:H001:P000|2|99|125,500,10:H001:P000,10,ok,27,21,20,0.023851783806879665
1000|10:H001:P000|1|0|125,1000,10:H001:P000,10,ok,126,39,32,0.025339241190737053
2000|10:H001:P000|1|0|125,2000,10:H001:P000,10,ok,126,39,32,0.025339241190737053
5000|10:H001:P000|1|0|125,5000,10:H001:P000,10,ok,126,39,32,0.025339241190737053
500|2:H001:P000|1|0|64,500,2:H001:P000,2,ok,65,12,12,0.02511862376720148
500|2:H001:P000|6|129|181,500,2:H001:P000,2,ok,53,13,13,0.020571676896462037
1000|2:H001:P000|1|0|123,1000,2:H001:P000,2,ok,124,13,13,0.02511862376720148
1000|2:H001:P000|3|145|181,1000,2:H001:P000,2,ok,37,13,12,0.020571676896462037
2000|2:H001:P000|1|0|123,2000,2:H001:P000,2,ok,124,13,13,0.02511862376720148
2000|2:H001:P000|2|123|181,2000,2:H001:P000,2,ok,59,14,13,0.020571676896462037
5000|2:H001:P000|1|0|123,5000,2:H001:P000,2,ok,124,13,13,0.02511862376720148
500|4:H001:P000|1|0|10,500,4:H001:P000,4,ok,11,5,5,0.02247932266896069
500|4:H001:P000|2|10|57,500,4:H001:P000,4,ok,48,10,9,0.024613991389080162
500|4:H001:P000|3|57|83,500,4:H001:P000,4,ok,27,6,5,0.022591115317976165
500|4:H001:P000|4|83|96,500,4:H001:P000,4,ok,14,5,3,0.021331945332122574
500|4:H001:P000|5|96|102,500,4:H001:P000,4,ok,7,3,3,0.02099968540421237
500|4:H001:P000|6|102|110,500,4:H001:P000,4,ok,9,5,4,0.025327771119205224
500|4:H001:P000|9|116|130,500,4:H001:P000,4,ok,15,3,2,0.017968017204010055
500|4:H001:P000|14|139|143,500,4:H001:P000,4,ok,5,3,3,0.017958139839954656
500|4:H001:P000|15|143|150,500,4:H001:P000,4,ok,8,6,5,0.018273668082388478
500|4:H001:P000|16|150|157,500,4:H001:P000,4,ok,8,4,4,0.018722039126213105
500|4:H001:P000|17|157|161,500,4:H001:P000,4,ok,5,3,2,0.019645545251813463
500|4:H001:P000|18|161|166,500,4:H001:P000,4,ok,6,5,5,0.023150881884122388
500|4:H001:P000|19|166|178,500,4:H001:P000,4,ok,13,6,6,0.02027190300756719
1000|4:H001:P000|1|0|10,1000,4:H001:P000,4,ok,11,5,5,0.02247932266896069
1000|4:H001:P000|2|10|57,1000,4:H001:P000,4,ok,48,10,9,0.024613991389080162
1000|4:H001:P000|3|57|83,1000,4:H001:P000,4,ok,27,6,5,0.022591115317976165
1000|4:H001:P000|4|83|96,1000,4:H001:P000,4,ok,14,5,3,0.021331945332122574
1000|4:H001:P000|5|96|102,1000,4:H001:P000,4,ok,7,3,3,0.02099968540421237
1000|4:H001:P000|6|102|110,1000,4:H001:P000,4,ok,9,5,4,0.025327771119205224
1000|4:H001:P000|9|116|130,1000,4:H001:P000,4,ok,15,3,2,0.017968017204010055
1000|4:H001:P000|14|139|143,1000,4:H001:P000,4,ok,5,3,3,0.017958139839954656
1000|4:H001:P000|15|143|150,1000,4:H001:P000,4,ok,8,6,5,0.018273668082388478
1000|4:H001:P000|16|150|157,1000,4:H001:P000,4,ok,8,4,4,0.018722039126213105
1000|4:H001:P000|17|157|161,1000,4:H001:P000,4,ok,5,3,2,0.019645545251813463
1000|4:H001:P000|18|161|166,1000,4:H001:P000,4,ok,6,5,5,0.023150881884122388
1000|4:H001:P000|19|166|178,1000,4:H001:P000,4,ok,13,6,6,0.02027190300756719
2000|4:H001:P000|1|0|10,2000,4:H001:P000,4,ok,11,5,5,0.02247932266896069
2000|4:H001:P000|2|10|57,2000,4:H001:P000,4,ok,48,10,9,0.024613991389080162
2000|4:H001:P000|3|57|83,2000,4:H001:P000,4,ok,27,6,5,0.022591115317976165
2000|4:H001:P000|4|83|96,2000,4:H001:P000,4,ok,14,5,3,0.021331945332122574
2000|4:H001:P000|5|96|102,2000,4:H001:P000,4,ok,7,3,3,0.02099968540421237
2000|4:H001:P000|6|102|110,2000,4:H001:P000,4,ok,9,5,4,0.025327771119205224
2000|4:H001:P000|9|116|130,2000,4:H001:P000,4,ok,15,3,2,0.017968017204010055
2000|4:H001:P000|10|130|143,2000,4:H001:P000,4,ok,14,7,3,0.018035991038742226
2000|4:H001:P000|11|143|150,2000,4:H001:P000,4,ok,8,6,5,0.018273668082388478
2000|4:H001:P000|12|150|157,2000,4:H001:P000,4,ok,8,4,4,0.018722039126213105
2000|4:H001:P000|13|157|161,2000,4:H001:P000,4,ok,5,3,2,0.019645545251813463
2000|4:H001:P000|14|161|166,2000,4:H001:P000,4,ok,6,5,5,0.023150881884122388
2000|4:H001:P000|15|166|178,2000,4:H001:P000,4,ok,13,6,6,0.02027190300756719
