scale_m,contrast,estimand,events,paired_individuals,individual_equal_difference,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_raw,holm_family,phase_p_holm
500,forage_dominant_minus_rest_dominant,E_high,75,9,0.30636429533903886,0.1374384837816008,0.508878746863243,0.009786577007862776,0.033,descriptive,
500,forage_dominant_minus_rest_dominant,E_low,75,9,0.02392340040802706,-0.1527711846288178,0.18846092836354766,-0.01991746727578132,0.371,descriptive,
500,forage_dominant_minus_rest_dominant,E_union,75,9,0.33028769574706585,0.10422092338657005,0.5695402864162191,-0.01013089026791856,0.013,descriptive,
500,forage_dominant_minus_rest_dominant,R_high,75,9,0.034619597429113434,0.0020737941164006377,0.07874696841958741,-5.2668482780462266e-05,0.077,descriptive,
500,forage_dominant_minus_rest_dominant,R_low,75,9,-0.005577593416554112,-0.023900046426507112,0.009849880344252982,0.0007190528260274277,0.669,descriptive,
500,forage_dominant_minus_rest_dominant,R_union,75,9,0.029042004012559314,0.0030112754830800073,0.059360684451536555,0.0006663843432469624,0.134,descriptive,
500,forage_dominant_minus_rest_dominant,L_high,75,9,0.27174469790992545,0.10291442978223392,0.48436989794587115,0.009839245490643245,0.038,secondary_forage_minus_rest_L_tails_8,0.22799999999999998
500,forage_dominant_minus_rest_dominant,L_low,75,9,0.029500993824581163,-0.15011021047606413,0.20315974242027057,-0.020636520101808747,0.357,secondary_forage_minus_rest_L_tails_8,1.0
500,forage_dominant_minus_rest_dominant,L_union,75,9,0.30124569173450655,0.08644367163777099,0.5372466587913742,-0.01079727461116552,0.018,secondary_forage_minus_rest_L_union_4,0.05399999999999999
1000,forage_dominant_minus_rest_dominant,E_high,66,7,0.2717917316094201,0.1900350844561137,0.3413460620923839,-0.00958983667691013,0.021,descriptive,
1000,forage_dominant_minus_rest_dominant,E_low,66,7,0.0735999831081443,-0.12107362691311639,0.2530117385818362,-0.018246311378928712,0.233,descriptive,
1000,forage_dominant_minus_rest_dominant,E_union,66,7,0.34539171471756436,0.09940939341823556,0.5733885720003423,-0.027836148055838835,0.011,descriptive,
1000,forage_dominant_minus_rest_dominant,R_high,66,7,0.027898019555367182,-0.013296342386725448,0.08663347990199832,0.0027298318338740165,0.212,descriptive,
1000,forage_dominant_minus_rest_dominant,R_low,66,7,-0.006489644942368848,-0.033106346452211104,0.015304904845721182,0.0020022087444323774,0.673,descriptive,
1000,forage_dominant_minus_rest_dominant,R_union,66,7,0.021408374612998337,-0.011338851602331345,0.05827877934054592,0.004732040578306391,0.306,descriptive,
1000,forage_dominant_minus_rest_dominant,L_high,66,7,0.2438937120540529,0.17797438581074684,0.3112468267755886,-0.012319668510784141,0.028,secondary_forage_minus_rest_L_tails_8,0.216
1000,forage_dominant_minus_rest_dominant,L_low,66,7,0.08008962805051316,-0.12489399856799337,0.2687905003898793,-0.020248520123361088,0.191,secondary_forage_minus_rest_L_tails_8,0.9550000000000001
1000,forage_dominant_minus_rest_dominant,L_union,66,7,0.32398334010456603,0.08023133187887357,0.5545425635146889,-0.03256818863414522,0.01,secondary_forage_minus_rest_L_union_4,0.04
