scale_m,run_key,events,master_tokens,attempted_draws,unique_offsets_checked,valid_unique_offsets
500,1:H001:P000,10,62,999,61,61
1000,1:H001:P000,10,63,999,62,62
2000,1:H001:P000,9,62,999,61,61
5000,1:H001:P000,5,55,999,54,54
500,10:H001:P000,2,40,999,39,39
1000,10:H001:P000,1,39,999,38,38
2000,10:H001:P000,1,39,999,38,38
5000,10:H001:P000,1,39,999,38,38
500,2:H001:P000,2,25,999,24,24
1000,2:H001:P000,2,26,999,25,25
2000,2:H001:P000,2,27,999,26,26
5000,2:H001:P000,1,13,999,12,12
500,4:H001:P000,13,64,999,63,63
1000,4:H001:P000,13,64,999,63,63
2000,4:H001:P000,13,68,999,67,67
5000,4:H001:P000,5,61,999,60,60
500,5:H001:P000,6,62,999,61,61
1000,5:H001:P000,5,64,999,63,63
2000,5:H001:P000,4,63,999,62,62
5000,5:H001:P000,4,63,999,62,62
500,6:H001:P000,6,36,999,35,35
1000,6:H001:P000,5,36,999,35,35
2000,6:H001:P000,4,23,999,22,22
5000,6:H001:P000,1,21,999,20,20
500,7-(A):H001:P000,1,43,999,42,42
1000,7-(A):H001:P000,1,43,999,42,42
2000,7-(A):H001:P000,1,43,999,42,42
5000,7-(A):H001:P000,1,43,999,42,42
500,7-(B):H001:P000,10,73,999,72,72
1000,7-(B):H001:P000,10,74,999,73,73
2000,7-(B):H001:P000,8,72,999,71,71
5000,7-(B):H001:P000,5,58,999,57,57
500,8:H001:P000,7,74,999,73,73
1000,8:H001:P000,7,76,999,75,75
2000,8:H001:P000,6,78,999,77,77
5000,8:H001:P000,3,68,999,67,67
500,9-(A):H022:P000,17,141,999,140,140
1000,9-(A):H022:P000,17,143,999,142,142
2000,9-(A):H022:P000,15,141,999,139,139
5000,9-(A):H022:P000,10,136,999,135,135
500,9-(B):H001:P000,3,34,999,33,33
1000,9-(B):H001:P000,1,25,999,24,24
2000,9-(B):H001:P000,1,25,999,24,24
5000,9-(B):H001:P000,1,25,999,24,24
500,9-(C):H003:P000,1,23,999,22,22
1000,9-(C):H003:P000,1,23,999,22,22
2000,9-(C):H003:P000,1,27,999,26,26
5000,9-(C):H003:P000,1,27,999,26,26
